TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
PiecewiseConstantAbcdVariance,Piecewise Constant Abcd Variance,NM NM NM N,2,1,2,Abcd,NM,{'QuantLib.srcml.xml_identifiers'},449
PointerMap,Pointer Map,NM N,0,0,2,Pointer,NM,{'grpc.srcml.xml_identifiers'},451
PostFile,Post File,NM N,0,0,2,Post,NM,{'okhttp.srcml.xml_identifiers'},452
PostScriptDocument,Post Script Document,NM NM N,0,0,2,Post,NM,{'antlr4.srcml.xml_identifiers'},453
PostScriptDocument,Post Script Document,NM NM N,1,1,2,Script,NM,{'antlr4.srcml.xml_identifiers'},453
PredicateWrapper,Predicate Wrapper,NM N,0,0,2,Predicate,NM,{'blender.srcml.xml_identifiers'},454
PrintEvents,Print Events,NM NPL,0,0,2,Print,NM,{'okhttp.srcml.xml_identifiers'},455
ProblemReporterFactory,Problem Reporter Factory,NM NM N,0,0,2,Problem,NM,{'kdevelop.srcml.xml_identifiers'},456
ProblemReporterFactory,Problem Reporter Factory,NM NM N,1,1,2,Reporter,NM,{'kdevelop.srcml.xml_identifiers'},456
ProjectControllerPrivate,Project Controller Private,NM N NM,0,0,2,Project,NM,{'kdevelop.srcml.xml_identifiers'},458
ProjectControllerPrivate,Project Controller Private,NM N NM,2,2,2,Private,NM,{'kdevelop.srcml.xml_identifiers'},458
PublishResponse,Publish Response,NM N,0,0,2,Publish,NM,{'elasticsearch.srcml.xml_identifiers'},459
QRDetect,QR Detect,NM N,0,0,2,QR,NM,{'opencv.srcml.xml_identifiers'},460
ReconstructUpdateCallback,Reconstruct Update Callback,NM NM N,0,0,2,Reconstruct,NM,{'blender.srcml.xml_identifiers'},464
ReconstructUpdateCallback,Reconstruct Update Callback,NM NM N,1,1,2,Update,NM,{'blender.srcml.xml_identifiers'},464
RecordHeader,Record Header,NM N,0,0,2,Record,NM,{'calligra.srcml.xml_identifiers'},465
RefutablePatternInitialization,Refutable Pattern Initialization,NM NM N,0,0,2,Refutable,NM,{'swift.srcml.xml_identifiers'},466
RefutablePatternInitialization,Refutable Pattern Initialization,NM NM N,1,1,2,Pattern,NM,{'swift.srcml.xml_identifiers'},466
RemotingDiagnostics ,Remoting Diagnostics,NM NPL,0,0,2,Remoting,NM,{'jenkins.srcml.xml_identifiers'},467
ResolvedFailedException,Resolved Failed Exception,NM NM N,0,0,2,Resolved,NM,{'jenkins.srcml.xml_identifiers'},468
ResolvedFailedException,Resolved Failed Exception,NM NM N,1,1,2,Failed,NM,{'jenkins.srcml.xml_identifiers'},468
ResponseHandlers,Response Handlers,NM NPL,0,0,2,Response,NM,{'elasticsearch.srcml.xml_identifiers'},469
RestClient,Rest Client,NM N,0,0,2,Rest,NM,{'openFrameworks.srcml.xml_identifiers'},470
ReturnsEmptyValues,Returns Empty Values,V NM NPL,1,1,2,Empty,NM,{'mockito.srcml.xml_identifiers'},471
RiskyBond,Risky Bond,NM N,0,0,2,Risky,NM,{'QuantLib.srcml.xml_identifiers'},472
RollingFrictionDemo,Rolling Friction Demo,NM NM N,0,0,2,Rolling,NM,{'bullet3.srcml.xml_identifiers'},473
RollingFrictionDemo,Rolling Friction Demo,NM NM N,1,1,2,Friction,NM,{'bullet3.srcml.xml_identifiers'},473
RSComputeOperation,RS Compute Operation,NM NM N,0,0,2,RS,NM,{'ogre.srcml.xml_identifiers'},474
RSComputeOperation,RS Compute Operation,NM NM N,1,1,2,Compute,NM,{'ogre.srcml.xml_identifiers'},474
RSStencilOperation,RS Stencil Operation,NM NM N,0,0,2,RS,NM,{'ogre.srcml.xml_identifiers'},475
RSStencilOperation,RS Stencil Operation,NM NM N,1,1,2,Stencil,NM,{'ogre.srcml.xml_identifiers'},475
RuleMemberValidator,Rule Member Validator,NM NM N,0,0,2,Rule,NM,{'junit4.srcml.xml_identifiers'},476
RuleMemberValidator,Rule Member Validator,NM NM N,1,1,2,Member,NM,{'junit4.srcml.xml_identifiers'},476
RulePropertyRef_ctx,Rule Property Ref ctx,NM NM NM N,0,0,2,Rule,NM,{'antlr4.srcml.xml_identifiers'},477
RulePropertyRef_ctx,Rule Property Ref ctx,NM NM NM N,1,1,2,Property,NM,{'antlr4.srcml.xml_identifiers'},477
RulePropertyRef_ctx,Rule Property Ref ctx,NM NM NM N,2,1,2,Ref,NM,{'antlr4.srcml.xml_identifiers'},477
RulePropertyRef_start,Rule Property Ref start,NM NM NM N,0,0,2,Rule,NM,{'antlr4.srcml.xml_identifiers'},478
RulePropertyRef_start,Rule Property Ref start,NM NM NM N,1,1,2,Property,NM,{'antlr4.srcml.xml_identifiers'},478
RulePropertyRef_start,Rule Property Ref start,NM NM NM N,2,1,2,Ref,NM,{'antlr4.srcml.xml_identifiers'},478
RuleVersionAttribute,Rule Version Attribute,NM NM N,0,0,2,Rule,NM,{'antlr4.srcml.xml_identifiers'},479
RuleVersionAttribute,Rule Version Attribute,NM NM N,1,1,2,Version,NM,{'antlr4.srcml.xml_identifiers'},479
RunAfterParams,Run After Params,V NM NPL,1,1,2,After,NM,{'junit4.srcml.xml_identifiers'},480
RunBeforeParams,Run Before Params,V NM NPL,1,1,2,Before,NM,{'junit4.srcml.xml_identifiers'},481
RunnerScheduler,Runner Scheduler,NM N,0,0,2,Runner,NM,{'junit4.srcml.xml_identifiers'},482
ScrollIdForNode,Scroll Id For Node,NM N P N,0,0,2,Scroll,NM,{'elasticsearch.srcml.xml_identifiers'},483
SegmenterCoreAnnotations,Segmenter Core Annotations,NM NM NPL,0,0,2,Segmenter,NM,{'corenlp.srcml.xml_identifiers'},484
SegmenterCoreAnnotations,Segmenter Core Annotations,NM NM NPL,1,1,2,Core,NM,{'corenlp.srcml.xml_identifiers'},484
SeiReader,Sei Reader,NM N,0,0,2,Sei,NM,{'Telegram.srcml.xml_identifiers'},485
SerializedForm,Serialized Form,NM N,0,0,2,Serialized,NM,{'junit4.srcml.xml_identifiers'},486
ServerSafeHandle,Server Safe Handle,NM NM N,0,0,2,Server,NM,{'grpc.srcml.xml_identifiers'},487
ServerSafeHandle,Server Safe Handle,NM NM N,1,1,2,Safe,NM,{'grpc.srcml.xml_identifiers'},487
SettingManager,Setting Manager,NM N,0,0,2,Setting,NM,{'irrlicht.srcml.xml_identifiers'},488
ShiftReduceTrainOptions,Shift Reduce Train Options,NM NM NM NPL,0,0,2,Shift,NM,{'corenlp.srcml.xml_identifiers'},489
ShiftReduceTrainOptions,Shift Reduce Train Options,NM NM NM NPL,1,1,2,Reduce,NM,{'corenlp.srcml.xml_identifiers'},489
ShiftReduceTrainOptions,Shift Reduce Train Options,NM NM NM NPL,2,1,2,Train,NM,{'corenlp.srcml.xml_identifiers'},489
SimplePressure,Simple Pressure,NM N,0,0,2,Simple,NM,{'gimp.srcml.xml_identifiers.idents'},490
SinglePeriodTimeline,Single Period Timeline,NM NM N,0,0,2,Single,NM,{'Telegram.srcml.xml_identifiers'},491
SinglePeriodTimeline,Single Period Timeline,NM NM N,1,1,2,Period,NM,{'Telegram.srcml.xml_identifiers'},491
SKEditorConsumer,SK Editor Consumer,NM NM N,0,0,2,SK,NM,{'swift.srcml.xml_identifiers'},493
SKEditorConsumer,SK Editor Consumer,NM NM N,1,1,2,Editor,NM,{'swift.srcml.xml_identifiers'},493
SlackClient,Slack Client,NM N,0,0,2,Slack,NM,{'okhttp.srcml.xml_identifiers'},494
StochasticProcess,Stochastic Process,NM N,0,0,2,Stochastic,NM,{'QuantLib.srcml.xml_identifiers'},495
StrictnessSelector,Strictness Selector,NM N,0,0,2,Strictness,NM,{'mockito.srcml.xml_identifiers'},497
StubbingComparator,Stubbing Comparator,NM N,0,0,2,Stubbing,NM,{'mockito.srcml.xml_identifiers'},498
SUTime,SU Time,NM N,0,0,2,SU,NM,{'corenlp.srcml.xml_identifiers'},499
SuiteMethod,Suite Method,NM N,0,0,2,Suite,NM,{'junit4.srcml.xml_identifiers'},500
SuiteMethodBuilder,Suite Method Builder,NM NM N,0,0,2,Suite,NM,{'junit4.srcml.xml_identifiers'},501
SuiteMethodBuilder,Suite Method Builder,NM NM N,1,1,2,Method,NM,{'junit4.srcml.xml_identifiers'},501
TaskImpl,Task Impl,NM N,0,0,2,Task,NM,{'jenkins.srcml.xml_identifiers'},502
TempCompMask,Temp Comp Mask,NM NM N,0,0,2,Temp,NM,{'gimp.srcml.xml_identifiers.idents'},503
TempCompMask,Temp Comp Mask,NM NM N,1,1,2,Comp,NM,{'gimp.srcml.xml_identifiers.idents'},503
TemperatureCauchy1D,Temperature Cauchy 1 D,NM N D NM,0,0,2,Temperature,NM,{'QuantLib.srcml.xml_identifiers'},504
TemperatureCauchy1D,Temperature Cauchy 1 D,NM N D NM,3,2,2,D,NM,{'QuantLib.srcml.xml_identifiers'},504
TemplatePreviewIconData,Template Preview Icon Data,NM NM NM NPL,0,0,2,Template,NM,{'kdevelop.srcml.xml_identifiers'},505
TemplatePreviewIconData,Template Preview Icon Data,NM NM NM NPL,1,1,2,Preview,NM,{'kdevelop.srcml.xml_identifiers'},505
TemplatePreviewIconData,Template Preview Icon Data,NM NM NM NPL,2,1,2,Icon,NM,{'kdevelop.srcml.xml_identifiers'},505
TemporaryFolder,Temporary Folder,NM N,0,0,2,Temporary,NM,{'junit4.srcml.xml_identifiers'},506
TextPaintView ,Text Paint View,NM NM N,0,0,2,Text,NM,{'Telegram.srcml.xml_identifiers'},507
TextPaintView ,Text Paint View,NM NM N,1,1,2,Paint,NM,{'Telegram.srcml.xml_identifiers'},507
TileParameterDefaultTypeInternal,Tile Parameter Default Type Internal,NM NM NM N NM,0,0,2,Tile,NM,{'opencv.srcml.xml_identifiers'},508
TileParameterDefaultTypeInternal,Tile Parameter Default Type Internal,NM NM NM N NM,1,1,2,Parameter,NM,{'opencv.srcml.xml_identifiers'},508
TileParameterDefaultTypeInternal,Tile Parameter Default Type Internal,NM NM NM N NM,2,1,2,Default,NM,{'opencv.srcml.xml_identifiers'},508
TileParameterDefaultTypeInternal,Tile Parameter Default Type Internal,NM NM NM N NM,4,2,2,Internal,NM,{'opencv.srcml.xml_identifiers'},508
TimeSignalCommand,Time Signal Command,NM NM N,0,0,2,Time,NM,{'Telegram.srcml.xml_identifiers'},509
TimeSignalCommand,Time Signal Command,NM NM N,1,1,2,Signal,NM,{'Telegram.srcml.xml_identifiers'},509
TokenPropertyRef,Token Property Ref,NM NM N,0,0,2,Token,NM,{'antlr4.srcml.xml_identifiers'},512
TokenPropertyRef,Token Property Ref,NM NM N,1,1,2,Property,NM,{'antlr4.srcml.xml_identifiers'},512
TokenPropertyRef_channel,Token Property Ref channel,NM NM NM N,0,0,2,Token,NM,{'antlr4.srcml.xml_identifiers'},513
TokenPropertyRef_channel,Token Property Ref channel,NM NM NM N,1,1,2,Property,NM,{'antlr4.srcml.xml_identifiers'},513
TokenPropertyRef_channel,Token Property Ref channel,NM NM NM N,2,1,2,Ref,NM,{'antlr4.srcml.xml_identifiers'},513
TokenTypeDecl,Token Type Decl,NM NM N,0,0,2,Token,NM,{'antlr4.srcml.xml_identifiers'},514
TokenTypeDecl,Token Type Decl,NM NM N,1,1,2,Type,NM,{'antlr4.srcml.xml_identifiers'},514
TopNGramRecord,Top NGram Record,NM NM N,0,0,2,Top,NM,{'corenlp.srcml.xml_identifiers'},515
TopNGramRecord,Top NGram Record,NM NM N,1,1,2,NGram,NM,{'corenlp.srcml.xml_identifiers'},515
TransportShardRefreshAction,Transport Shard Refresh Action,NM NM NM N,0,0,2,Transport,NM,{'elasticsearch.srcml.xml_identifiers'},516
TransportShardRefreshAction,Transport Shard Refresh Action,NM NM NM N,1,1,2,Shard,NM,{'elasticsearch.srcml.xml_identifiers'},516
TransportShardRefreshAction,Transport Shard Refresh Action,NM NM NM N,2,1,2,Refresh,NM,{'elasticsearch.srcml.xml_identifiers'},516
TreeElement,Tree Element,NM N,0,0,2,Tree,NM,{'blender.srcml.xml_identifiers'},517
TreePostScriptGenerator,Tree Post Script Generator,NM NM NM N,0,0,2,Tree,NM,{'antlr4.srcml.xml_identifiers'},518
TreePostScriptGenerator,Tree Post Script Generator,NM NM NM N,1,1,2,Post,NM,{'antlr4.srcml.xml_identifiers'},518
TreePostScriptGenerator,Tree Post Script Generator,NM NM NM N,2,1,2,Script,NM,{'antlr4.srcml.xml_identifiers'},518
TsurgeonParseException,Tsurgeon Parse Exception,NM NM N,0,0,2,Tsurgeon,NM,{'corenlp.srcml.xml_identifiers'},519
TsurgeonParseException,Tsurgeon Parse Exception,NM NM N,1,1,2,Parse,NM,{'corenlp.srcml.xml_identifiers'},519
TupleLValueEmitter,Tuple LValue Emitter,NM NM N,0,0,2,Tuple,NM,{'swift.srcml.xml_identifiers'},520
TupleLValueEmitter,Tuple LValue Emitter,NM NM N,1,1,2,LValue,NM,{'swift.srcml.xml_identifiers'},520
User2InternalIndex,User 2 Internal Index,N P NM N,2,1,2,Internal,NM,{'bullet3.srcml.xml_identifiers'},521
ValueLabel,Value Label,NM N,0,0,2,Value,NM,{'corenlp.srcml.xml_identifiers'},523
VanillaForwardPayoff,Vanilla Forward Payoff,NM NM N,0,0,2,Vanilla,NM,{'QuantLib.srcml.xml_identifiers'},524
VanillaForwardPayoff,Vanilla Forward Payoff,NM NM N,1,1,2,Forward,NM,{'QuantLib.srcml.xml_identifiers'},524
VerificationModeFactory,Verification Mode Factory,NM NM N,0,0,2,Verification,NM,{'mockito.srcml.xml_identifiers'},525
VerificationModeFactory,Verification Mode Factory,NM NM N,1,1,2,Mode,NM,{'mockito.srcml.xml_identifiers'},525
VertexPosition,Vertex Position,NM N,0,0,2,Vertex,NM,{'bullet3.srcml.xml_identifiers'},526
VideoCapture_DShow,Video Capture DShow,NM NM N,0,0,2,Video,NM,{'opencv.srcml.xml_identifiers'},527
VideoCapture_DShow,Video Capture DShow,NM NM N,1,1,2,Capture,NM,{'opencv.srcml.xml_identifiers'},527
VoronoiFractureDemo,Voronoi Fracture Demo,NM NM N,0,0,2,Voronoi,NM,{'bullet3.srcml.xml_identifiers'},528
VoronoiFractureDemo,Voronoi Fracture Demo,NM NM N,1,1,2,Fracture,NM,{'bullet3.srcml.xml_identifiers'},528
WarningFailureException ,Warning Failure Exception,NM NM N,0,0,2,Warning,NM,{'openFrameworks.srcml.xml_identifiers'},529
WarningFailureException ,Warning Failure Exception,NM NM N,1,1,2,Failure,NM,{'openFrameworks.srcml.xml_identifiers'},529
WebSocketListener,Web Socket Listener,NM NM N,0,0,2,Web,NM,{'okhttp.srcml.xml_identifiers'},530
WebSocketListener,Web Socket Listener,NM NM N,1,1,2,Socket,NM,{'okhttp.srcml.xml_identifiers'},530
WorkspaceFileMask,Workspace File Mask,NM NM N,0,0,2,Workspace,NM,{'jenkins.srcml.xml_identifiers'},531
WorkspaceFileMask,Workspace File Mask,NM NM N,1,1,2,File,NM,{'jenkins.srcml.xml_identifiers'},531
WriteContext,Write Context,NM N,0,0,2,Write,NM,{'grpc.srcml.xml_identifiers'},532
WSDLSSolver,WSDLS Solver,NM N,0,0,2,WSDLS,NM,{'blender.srcml.xml_identifiers'},533
QString,active Tool Id,NM NM N,0,0,3,active,NM,{'calligra.srcml.xml_identifiers'},534
QString,active Tool Id,NM NM N,1,1,3,Tool,NM,{'calligra.srcml.xml_identifiers'},534
int,actual Suffix,NM N,0,0,3,actual,NM,{'junit4.srcml.xml_identifiers'},535
gsecaeadcrypter,aead crypter seal,NM NM N,0,0,3,aead,NM,{'grpc.srcml.xml_identifiers'},537
gsecaeadcrypter,aead crypter seal,NM NM N,1,1,3,crypter,NM,{'grpc.srcml.xml_identifiers'},537
List,all action Roots,DT NM NPL,1,1,3,action,NM,{'antlr4.srcml.xml_identifiers'},538
List,all Invocation Matchers,DT NM NPL,1,1,3,Invocation,NM,{'mockito.srcml.xml_identifiers'},539
List,all Open Indices,DT NM NPL,1,1,3,Open,NM,{'elasticsearch.srcml.xml_identifiers'},540
QStringList,anchor Name,NM N,0,0,3,anchor,NM,{'calligra.srcml.xml_identifiers'},542
GtkWidget,animation box,NM N,0,0,3,animation,NM,{'gimp.srcml.xml_identifiers'},544
int,atn State,NM N,0,0,3,atn,NM,{'antlr4.srcml.xml_identifiers'},545
Map,avg Map,NM N,0,0,3,avg,NM,{'corenlp.srcml.xml_identifiers'},548
String,base Category,NM N,0,0,3,base,NM,{'corenlp.srcml.xml_identifiers'},549
btTransform,base transform,NM N,0,0,3,base,NM,{'bullet3.srcml.xml_identifiers'},550
guchar,best b,NM N,0,0,3,best,NM,{'gimp.srcml.xml_identifiers'},551
IndexedWord,best Node,NM N,0,0,3,best,NM,{'corenlp.srcml.xml_identifiers'},552
XIMStyle,best Style,NM N,0,0,3,best,NM,{'irrlicht.srcml.xml_identifiers'},553
MMatrix,bind Matrix,NM N,0,0,3,bind,NM,{'ogre.srcml.xml_identifiers'},554
s16,binormal type,NM N,0,0,3,binormal,NM,{'irrlicht.srcml.xml_identifiers'},555
uint32t,byte Count,NM N,0,0,3,byte,NM,{'Telegram.srcml.xml_identifiers'},556
int8t,byte Src,NM N,0,0,3,byte,NM,{'Telegram.srcml.xml_identifiers'},557
Sink,cache Body Unbuffered,NM N NM,0,0,3,cache,NM,{'okhttp.srcml.xml_identifiers'},558
Sink,cache Body Unbuffered,NM N NM,2,2,3,Unbuffered,NM,{'okhttp.srcml.xml_identifiers'},558
IndexShardCacheEntity,cache Entity,NM N,0,0,3,cache,NM,{'elasticsearch.srcml.xml_identifiers'},559
float,cam Rot Z,NM NM N,0,0,3,cam,NM,{'bullet3.srcml.xml_identifiers'},560
float,cam Rot Z,NM NM N,1,1,3,Rot,NM,{'bullet3.srcml.xml_identifiers'},560
vector,cap Times,NM NPL,0,0,3,cap,NM,{'QuantLib.srcml.xml_identifiers'},561
grpcsslcertificateconfigreloadstatus,cb result,NM N,0,0,3,cb,NM,{'grpc.srcml.xml_identifiers'},562
FrameIterator,cell Cursor,NM N,0,0,3,cell,NM,{'calligra.srcml.xml_identifiers'},563
Set,child Categories,NM NPL,0,0,3,child,NM,{'junit4.srcml.xml_identifiers'},566
auto,clang Can Ty,PRE NM N,1,1,3,Can,NM,{'swift.srcml.xml_identifiers'},567
HandshakeCertificates,client Certificates,NM NPL,0,0,3,client,NM,{'okhttp.srcml.xml_identifiers'},568
bool,clip Dist Bug,NM NM N,0,0,3,clip,NM,{'ogre.srcml.xml_identifiers'},569
bool,clip Dist Bug,NM NM N,1,1,3,Dist,NM,{'ogre.srcml.xml_identifiers'},569
List,cmd Lines,NM NPL,0,0,3,cmd,NM,{'jenkins.srcml.xml_identifiers'},570
sharedptr,cms Pricer,NM N,0,0,3,cms,NM,{'QuantLib.srcml.xml_identifiers'},571
String,code Exception Message,NM NM N,0,0,3,code,NM,{'okhttp.srcml.xml_identifiers'},572
String,code Exception Message,NM NM N,1,1,3,Exception,NM,{'okhttp.srcml.xml_identifiers'},572
long,col Length Left,NM NM N,0,0,3,col,NM,{'bullet3.srcml.xml_identifiers'},573
long,col Length Left,NM NM N,1,1,3,Length,NM,{'bullet3.srcml.xml_identifiers'},573
mat4,cone translation,NM N,0,0,3,cone,NM,{'openFrameworks.srcml.xml_identifiers'},576
QVector,control Points,NM NPL,0,0,3,control,NM,{'calligra.srcml.xml_identifiers'},577
ActionBarMenuItem,copy Item,NM N,0,0,3,copy,NM,{'Telegram.srcml.xml_identifiers'},578
opusint64[],corr QC,NM N,0,0,3,corr,NM,{'Telegram.srcml.xml_identifiers'},579
sharedptr,coterminal Model,NM N,0,0,3,coterminal,NM,{'QuantLib.srcml.xml_identifiers'},580
Exception,curr Thread Exception,NM NM N,0,0,3,curr,NM,{'junit4.srcml.xml_identifiers'},582
Exception,curr Thread Exception,NM NM N,1,1,3,Thread,NM,{'junit4.srcml.xml_identifiers'},582
Mat,current Charuco Corners,NM NM NPL,0,0,3,current,NM,{'opencv.srcml.xml_identifiers'},583
Mat,current Charuco Corners,NM NM NPL,1,1,3,Charuco,NM,{'opencv.srcml.xml_identifiers'},583
int,current Open Shards,NM NM NPL,0,0,3,current,NM,{'elasticsearch.srcml.xml_identifiers'},584
int,current Open Shards,NM NM NPL,1,1,3,Open,NM,{'elasticsearch.srcml.xml_identifiers'},584
vector,current Sequence,NM N,0,0,3,current,NM,{'QuantLib.srcml.xml_identifiers'},585
float,d inf,NM N,0,0,3,d,NM,{'Telegram.srcml.xml_identifiers'},586
BlockedItem,DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,0,0,3,DEFAULT,NM,{'jenkins.srcml.xml_identifiers'},587
BlockedItem,DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,1,1,3,BLOCKED,NM,{'jenkins.srcml.xml_identifiers'},587
BlockedItem,DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,2,1,3,ITEM,NM,{'jenkins.srcml.xml_identifiers'},587
ColorManagedLook,default look,NM N,0,0,3,default,NM,{'blender.srcml.xml_identifiers'},588
ST,dependencies ST,NM N,0,0,3,dependencies,NM,{'antlr4.srcml.xml_identifiers'},589
QString,DEPOT MESSAGE START,NM NM N,0,0,3,DEPOT,NM,{'kdevelop.srcml.xml_identifiers'},590
QString,DEPOT MESSAGE START,NM NM N,1,1,3,MESSAGE,NM,{'kdevelop.srcml.xml_identifiers'},590
Real,drift term,NM N,0,0,3,drift,NM,{'QuantLib.srcml.xml_identifiers'},591
float,dst Saturation,NM N,0,0,3,dst,NM,{'calligra.srcml.xml_identifiers'},592
int,dst Type 1,NM N D,0,0,3,dst,NM,{'opencv.srcml.xml_identifiers'},593
GParamSpec,element spec,NM N,0,0,3,element,NM,{'gimp.srcml.xml_identifiers'},594
int,enum Count,NM N,0,0,3,enum,NM,{'junit4.srcml.xml_identifiers'},596
EqualsBuilder,equals Builder,NM N,0,0,3,equals,NM,{'mockito.srcml.xml_identifiers'},597
int,equals Offset,NM N,0,0,3,equals,NM,{'okhttp.srcml.xml_identifiers'},598
uint,error Mark Type,NM NM N,0,0,3,error,NM,{'kdevelop.srcml.xml_identifiers'},599
uint,error Mark Type,NM NM N,1,1,3,Mark,NM,{'kdevelop.srcml.xml_identifiers'},599
int,expect rows,NM NPL,0,0,3,expect,NM,{'opencv.srcml.xml_identifiers'},602
String,expected String,NM N,0,0,3,expected,NM,{'junit4.srcml.xml_identifiers'},603
ClusteredBitVector,extra Inhabitants Mask,NM NM N,0,0,3,extra,NM,{'swift.srcml.xml_identifiers'},604
ClusteredBitVector,extra Inhabitants Mask,NM NM N,1,1,3,Inhabitants,NM,{'swift.srcml.xml_identifiers'},604
List,extra Interfaces,NM NPL,0,0,3,extra,NM,{'mockito.srcml.xml_identifiers'},605
Real,f Cos,NM N,0,0,3,f,NM,{'ogre.srcml.xml_identifiers'},606
bool,f curve Found,NM N V,0,0,3,f,NM,{'ogre.srcml.xml_identifiers'},607
FakeMetaMethod,f m m,NM NM N,0,0,3,f,NM,{'kdevelop.srcml.xml_identifiers'},608
FakeMetaMethod,f m m,NM NM N,1,1,3,m,NM,{'kdevelop.srcml.xml_identifiers'},608
float,f Ptr Out,PRE NM N,1,1,3,Ptr,NM,{'openFrameworks.srcml.xml_identifiers'},609
int,face index,NM N,0,0,3,face,NM,{'blender.srcml.xml_identifiers'},610
Class,factory Class,NM N,0,0,3,factory,NM,{'junit4.srcml.xml_identifiers'},611
auto,feature Iterator,NM N,0,0,3,feature,NM,{'antlr4.srcml.xml_identifiers'},613
unsigned,field Offset Vector,NM NM N,0,0,3,field,NM,{'swift.srcml.xml_identifiers'},614
unsigned,field Offset Vector,NM NM N,1,1,3,Offset,NM,{'swift.srcml.xml_identifiers'},614
String,filter Spec,NM N,0,0,3,filter,NM,{'junit4.srcml.xml_identifiers'},615
int,first Space,NM N,0,0,3,first,NM,{'okhttp.srcml.xml_identifiers'},617
ICameraSceneNode,fixed Cam,NM N,0,0,3,fixed,NM,{'irrlicht.srcml.xml_identifiers'},618
Frequency,fixed Leg Frequency,NM NM N,0,0,3,fixed,NM,{'QuantLib.srcml.xml_identifiers'},619
Frequency,fixed Leg Frequency,NM NM N,1,1,3,Leg,NM,{'QuantLib.srcml.xml_identifiers'},619
boolean,format OK,N NM,1,2,3,OK,NM,{'antlr4.srcml.xml_identifiers'},622
int[],free Positions,NM NPL,0,0,3,free,NM,{'corenlp.srcml.xml_identifiers'},623
btVector3,from Local Aabb Min,P NM NM N,1,1,3,Local,NM,{'bullet3.srcml.xml_identifiers'},624
btVector3,from Local Aabb Min,P NM NM N,2,1,3,Aabb,NM,{'bullet3.srcml.xml_identifiers'},624
IDocument,future Active Doc,NM NM N,0,0,3,future,NM,{'kdevelop.srcml.xml_identifiers'},625
IDocument,future Active Doc,NM NM N,1,1,3,Active,NM,{'kdevelop.srcml.xml_identifiers'},625
bool,generate Rule Bypass Transitions,V NM NM NPL,1,1,3,Rule,NM,{'antlr4.srcml.xml_identifiers'},626
bool,generate Rule Bypass Transitions,V NM NM NPL,2,1,3,Bypass,NM,{'antlr4.srcml.xml_identifiers'},626
String,generated Token On Creation,NM N P N,0,0,3,generated,NM,{'jenkins.srcml.xml_identifiers'},627
Map,id Mention,N NM,1,2,3,Mention,NM,{'corenlp.srcml.xml_identifiers'},629
GQuark,identifier quark,NM N,0,0,3,identifier,NM,{'gimp.srcml.xml_identifiers'},630
IdpConfiguration,idp Configuration,NM N,0,0,3,idp,NM,{'elasticsearch.srcml.xml_identifiers'},631
int,idx u,NM N,0,0,3,idx,NM,{'blender.srcml.xml_identifiers'},632
IplImage[],img stub,NM N,0,0,3,img,NM,{'opencv.srcml.xml_identifiers'},633
FREEIMAGETYPE,img Type,NM N,0,0,3,img,NM,{'openFrameworks.srcml.xml_identifiers'},634
String,IMPLICIT GROUP KEY,NM NM N,0,0,3,IMPLICIT,NM,{'elasticsearch.srcml.xml_identifiers'},635
String,IMPLICIT GROUP KEY,NM NM N,1,1,3,GROUP,NM,{'elasticsearch.srcml.xml_identifiers'},635
Integer[],indexes Of Suspicious Args,NPL P NM NPL,2,1,3,Suspicious,NM,{'mockito.srcml.xml_identifiers'},637
IntPtr,inertial Frame,NM N,0,0,3,inertial,NM,{'bullet3.srcml.xml_identifiers'},638
auto,inst Results,NM NPL,0,0,3,inst,NM,{'swift.srcml.xml_identifiers'},639
Type[],interface Bounds,NM NPL,0,0,3,interface,NM,{'mockito.srcml.xml_identifiers'},640
Real,inv Flight K 2,NM NM N D,0,0,3,inv,NM,{'QuantLib.srcml.xml_identifiers'},641
Real,inv Flight K 2,NM NM N D,1,1,3,Flight,NM,{'QuantLib.srcml.xml_identifiers'},641
float,inv unit scale,NM NM N,0,0,3,inv,NM,{'blender.srcml.xml_identifiers'},642
float,inv unit scale,NM NM N,1,1,3,unit,NM,{'blender.srcml.xml_identifiers'},642
Vector3,inverted Direction,NM N,0,0,3,inverted,NM,{'ogre.srcml.xml_identifiers'},643
bool,is Node A Left Child Leaf,V N DT NM NM N,3,1,3,Left,NM,{'bullet3.srcml.xml_identifiers'},645
bool,is Node A Left Child Leaf,V N DT NM NM N,4,1,3,Child,NM,{'bullet3.srcml.xml_identifiers'},645
JarURLConnection,jar URL Connection,NM NM N,0,0,3,jar,NM,{'jenkins.srcml.xml_identifiers'},648
JarURLConnection,jar URL Connection,NM NM N,1,1,3,URL,NM,{'jenkins.srcml.xml_identifiers'},648
u32,joint Start,NM N,0,0,3,joint,NM,{'irrlicht.srcml.xml_identifiers'},649
int,key Begin,NM N,0,0,3,key,NM,{'okhttp.srcml.xml_identifiers'},650
queue,key Events Copy,NM NM N,0,0,3,key,NM,{'openFrameworks.srcml.xml_identifiers'},651
