TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
sizet	tot elem	ATTRIBUTE	NM N	C	blender	https://github.com/blender/blender
CounterMetric	total Merge Throttled Time	ATTRIBUTE	NM NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
CommodityUnitCost	trade Price	ATTRIBUTE	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Builder	training Examples	FUNCTION	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Real	tranched Loss After	DECLARATION	NM N P	C++	QuantLib	https://github.com/lballabio/QuantLib
PathInfo	transform Path	FUNCTION	V N	C++	QuantLib	https://github.com/lballabio/QuantLib
Affine3	transform Unique Id	DECLARATION	NM NM N	C++	ogre	https://github.com/OGRECave/ogre
TransportShardRefreshAction	Transport Shard Refresh Action	CLASS	NM NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
TreeElement	Tree Element	CLASS	NM N	C++	blender	https://github.com/blender/blender
TreePostScriptGenerator	Tree Post Script Generator	CLASS	NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
bool	trim Parse Trees	DECLARATION	V NM NPL	C#	antlr4	https://github.com/antlr/antlr4
Treebank	tune Treebank	DECLARATION	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
TupleLValueEmitter	Tuple LValue Emitter	CLASS	NM NM N	C++	swift	https://github.com/apple/swift
void	two Factor Response	FUNCTION	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
char	txt alias	DECLARATION	NM N	C	grpc	https://github.com/grpc/grpc
int	TYPE TEST RULE	ATTRIBUTE	NM NM N	Java	junit4	https://github.com/junit-team/junit4
byte	TYPE WINDOW UPDATE	ATTRIBUTE	N NM NM	Java	okhttp	https://github.com/square/okhttp
T[]	typed Array	PARAMETER	NM N	Java	mockito	https://github.com/mockito/mockito
int	ui Index	DECLARATION	NM N	C++	ogre	https://github.com/OGRECave/ogre
BytesReference	uncompress If Needed	FUNCTION	V CJ V	Java	elasticsearch	https://github.com/elastic/elasticsearch
Handle	underlying Fx Correlation	PARAMETER	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Money	undiscounted Amount	PARAMETER	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
String	UNKNOWN USERNAME	ATTRIBUTE	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
void	unload Textures	FUNCTION	V NPL	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
void	unpack texture Blend Func	FUNCTION	V NM NM N	C	irrlicht	https://github.com/zaki/irrlicht
requestmatcher	unregistered request matcher	ATTRIBUTE	NM NM N	C++	grpc	https://github.com/grpc/grpc
SoloFilePathFilter	UNRESTRICTED	ATTRIBUTE	NM	Java	jenkins	https://github.com/jenkinsci/jenkins
GeglRectangle	update area	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
void	update Mouse Pos	FUNCTION	V NM N	C++	calligra	https://github.com/KDE/calligra
HttpUrl	url From Json	FUNCTION	N P N	Java	okhttp	https://github.com/square/okhttp
int	usage	PARAMETER	N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
bool	use Atm Spread	ATTRIBUTE	V NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
bool	use mat dirs	DECLARATION	V NM NPL	C++	irrlicht	https://github.com/zaki/irrlicht
bool	use Shadows 1	PARAMETER	V NPL D	C++	bullet3	https://github.com/bulletphysics/bullet3
bool	use Tabs	PARAMETER	V NPL	C++	kdevelop	https://github.com/KDE/kdevelop
User2InternalIndex	User 2 Internal Index	CLASS	N P NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
void	user hook 3	ATTRIBUTE	NM N D	C	blender	https://github.com/blender/blender
sizet	utf8 size	PARAMETER	NM N	C++	grpc	https://github.com/grpc/grpc
Guid	uuid	ATTRIBUTE	N	C#	antlr4	https://github.com/antlr/antlr4
float	v proj axis	DECLARATION	NM NM N	C	blender	https://github.com/blender/blender
StringTokenizer	v Tok	DECLARATION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
uint	val 32	ATTRIBUTE	N D	C++	opencv	https://github.com/opencv/opencv
sizet	Val Size	DECLARATION	NM N	C++	grpc	https://github.com/grpc/grpc
void	validate Class Rules	FUNCTION	V NM NPL	Java	junit4	https://github.com/junit-team/junit4
u32	validate On	PARAMETER	V P	C++	irrlicht	https://github.com/zaki/irrlicht
void	validate Public Static Void Methods	FUNCTION	V NM NM NM NPL	Java	junit4	https://github.com/junit-team/junit4
List	validator Strategies	ATTRIBUTE	NM NPL	Java	junit4	https://github.com/junit-team/junit4
Value	Value	CLASS	N	C++	Telegram	https://github.com/DrKLO/Telegram
String	value Count String	DECLARATION	NM NM N	Java	okhttp	https://github.com/square/okhttp
QHash	value Hash	ATTRIBUTE	NM N	C++	calligra	https://github.com/KDE/calligra
ValueLabel	Value Label	CLASS	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Real	value X	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
VanillaForwardPayoff	Vanilla Forward Payoff	CLASS	NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Object[]	var Args	DECLARATION	NM NPL	Java	mockito	https://github.com/mockito/mockito
vector	variables	ATTRIBUTE	NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
Set	vary Fields	DECLARATION	NM NPL	Java	okhttp	https://github.com/square/okhttp
VerificationModeFactory	Verification Mode Factory	CLASS	NM NM N	Java	mockito	https://github.com/mockito/mockito
VerificationOverTimeImpl	verification Over Time	DECLARATION	N P N	Java	mockito	https://github.com/mockito/mockito
void	verification Started	FUNCTION	N V	Java	mockito	https://github.com/mockito/mockito
VerificationStrategy	verification Strategy	ATTRIBUTE	NM N	Java	mockito	https://github.com/mockito/mockito
emailkeymapping	verifier get mapping	FUNCTION	N V N	C++	grpc	https://github.com/grpc/grpc
VertexPosition	Vertex Position	CLASS	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
VideoCapture_DShow	Video Capture DShow	CLASS	NM NM N	C++	opencv	https://github.com/opencv/opencv
freenectchunkcb	video chunk cb	ATTRIBUTE	NM NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
void	visit SIL Argument	FUNCTION	V NM N	C++	swift	https://github.com/apple/swift
VoronoiFractureDemo	Voronoi Fracture Demo	CLASS	NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
int	w Width	ATTRIBUTE	NM N	C++	ogre	https://github.com/OGRECave/ogre
long	wait Until	DECLARATION	V P	Java	jenkins	https://github.com/jenkinsci/jenkins
Set	waiting List	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	want x	PARAMETER	V N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
WarningFailureException	Warning Failure Exception	CLASS	NM NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
s32	wat id	DECLARATION	NM N	C	irrlicht	https://github.com/zaki/irrlicht
WebSocketListener	Web Socket Listener	CLASS	NM NM N	Java	okhttp	https://github.com/square/okhttp
vector	weights Multipliers	ATTRIBUTE	NM NPL	C++	opencv	https://github.com/opencv/opencv
void	widget Destroyed	FUNCTION	N V	C++	kdevelop	https://github.com/KDE/kdevelop
boolean	will Return Last Parameter	PARAMETER	V V DT N	Java	mockito	https://github.com/mockito/mockito
int	win Error	DECLARATION	NM N	C++	ogre	https://github.com/OGRECave/ogre
Challenge	with Charset	FUNCTION	P N	Java	okhttp	https://github.com/square/okhttp
MakeCms	with Cms Leg Rule	FUNCTION	P NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
ModelSettings	with Market Rate Accuracy	FUNCTION	P NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Settings	with Rate Bound	FUNCTION	P NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
MockResponse	with Web Socket Upgrade	FUNCTION	P NM NM N	Java	okhttp	https://github.com/square/okhttp
gboolean	within vertically	DECLARATION	P VM	C	gimp	https://github.com/GNOME/gimp
WordLemmaTag	word Lemma Tag	PARAMETER	NM NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
void	worker Thread Wait	FUNCTION	NM N V	C++	bullet3	https://github.com/bulletphysics/bullet3
WorkspaceFileMask	Workspace File Mask	CLASS	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
vec3	world To Screen	FUNCTION	N P N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
int	worst score	DECLARATION	NM N	C	opencv	https://github.com/opencv/opencv
RunListener	wrap If Not Thread Safe	FUNCTION	V CJ VM NM N	Java	junit4	https://github.com/junit-team/junit4
WrapperType	wrapped Verification	PARAMETER	NM N	Java	mockito	https://github.com/mockito/mockito
Class	wrapper Class	DECLARATION	NM N	Java	junit4	https://github.com/junit-team/junit4
WriteContext	Write Context	CLASS	NM N	C++	grpc	https://github.com/grpc/grpc
void	write Node Materials	FUNCTION	V NM NPL	C++	irrlicht	https://github.com/zaki/irrlicht
void	write tcp data	FUNCTION	V NM N	C	grpc	https://github.com/grpc/grpc
WSDLSSolver	WSDLS Solver	CLASS	NM N	C++	blender	https://github.com/blender/blender
btScalar	x 2	DECLARATION	N D	C++	bullet3	https://github.com/bulletphysics/bullet3
float	x Distance	DECLARATION	NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
Atom	X dnd Type List	ATTRIBUTE	NM NM NM N	C	blender	https://github.com/blender/blender
short	x origin	ATTRIBUTE	NM N	C	bullet3	https://github.com/bulletphysics/bullet3
f32	X scale	ATTRIBUTE	NM N	C	irrlicht	https://github.com/zaki/irrlicht
int	x Tilt	FUNCTION	NM N	C++	calligra	https://github.com/KDE/calligra
Real	y In	PARAMETER	NM N	C++	ogre	https://github.com/OGRECave/ogre
S32	ya Bottom	ATTRIBUTE	NM N	C	calligra	https://github.com/KDE/calligra
SmallVectorImpl	yield MVs	PARAMETER	NM NPL	C++	swift	https://github.com/apple/swift
freenectzeroplaneinfo	z p i	PARAMETER	NM NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
double[]	z probs	PARAMETER	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Real	z weight	ATTRIBUTE	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
int	zero plane res	ATTRIBUTE	NM NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
T	a	PARAMETER	N	C++	drill	https://github.com/apache/drill
char	a 0	PARAMETER	N D	C	rigraph	https://github.com/igraph/rigraph
int	a 3	DECLARATION	N D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	a cap	PARAMETER	NM N	C	rigraph	https://github.com/igraph/rigraph
int	a Change	PARAMETER	PRE N	C	ccv	https://github.com/liuliu/ccv
asn1_ctx_t	a ctx	PARAMETER	NM N	C	wireshark	https://github.com/wireshark/wireshark
int	a len	PARAMETER	NM N	C	naemon-core	https://github.com/naemon/naemon-core
u8	a light	PARAMETER	DT N	C++	freeminer	https://github.com/freeminer/freeminer
u8	a Old Record 1	PARAMETER	PRE NM N D	C	ccv	https://github.com/liuliu/ccv
sqlite3_value**	a Replace	PARAMETER	PRE V	C	ccv	https://github.com/liuliu/ccv
Throwable	a Throwable	PARAMETER	DT NM	Java	Spark	https://github.com/apache/spark
long	a time	PARAMETER	NM N	Java	drill	https://github.com/apache/drill
ovsdb_type	a type	PARAMETER	NM N	C	ovs	https://github.com/openvswitch/ovs
Void	a Void	PARAMETER	DT N	Java	immutables	https://github.com/immutables/immutables
bool	above Base	PARAMETER	P N	C++	proxygen	https://github.com/facebook/proxygen
class	Abstract SV 2 Copier	CLASS	NM N D N	Java	drill	https://github.com/apache/drill
void	add before forward	FUNCTION	V P N	C++	caffe	https://github.com/BVLC/caffe
customvariablesmember*	add custom variable to service	FUNCTION	V NM N P N	C	naemon-core	https://github.com/naemon/naemon-core
void	add Menu For List Nodes	FUNCTION	V N P NM NPL	Java	Spark	https://github.com/apache/spark
bool	add no exist	PARAMETER	V DT V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int	add parent to host	FUNCTION	V N P N	C	naemon-core	https://github.com/naemon/naemon-core
int	add temp to args	DECLARATION	V N P NPL	C	weechat	https://github.com/weechat/weechat
void	adjust to camera	FUNCTION	V P N	C++	panda3d	https://github.com/panda3d/panda3d
uLong	adler 1	DECLARATION	N D	C	mgba	https://github.com/mgba-emu/mgba
long	after	DECLARATION	P	Java	drill	https://github.com/apache/drill
auto	after 1	DECLARATION	P D	C++	meta	https://github.com/meta-toolkit/meta
auto	after 2	DECLARATION	P D	C++	meta	https://github.com/meta-toolkit/meta
boolean	after Equals	DECLARATION	P N	Java	Openfire	https://github.com/igniterealtime/Openfire
void	after Filters Closed	FUNCTION	P NPL V	Java	Smack	https://github.com/igniterealtime/Smack
boolean	after First Batch	ATTRIBUTE	P DT N	Java	drill	https://github.com/apache/drill
request	after handle	DECLARATION	P N	C	crow	https://github.com/CrowCpp/Crow
void	after Last	FUNCTION	P DT	Java	drill	https://github.com/apache/drill
boolean	after Last Row	ATTRIBUTE	P DT N	Java	drill	https://github.com/apache/drill
ClassToInstanceMap	after Round	ATTRIBUTE	P N	Java	immutables	https://github.com/immutables/immutables
ebb_after_write_cb	after write cb	ATTRIBUTE	P V N	C	ccv	https://github.com/liuliu/ccv
AfterXStanzas	after X Stanzas	ATTRIBUTE	P D NPL	Java	Smack	https://github.com/igniterealtime/Smack
Set	all Annotated Elements	FUNCTION	DT NM NPL	Java	immutables	https://github.com/immutables/immutables
EnumSet	all Casts	DECLARATION	DT NPL	Java	drill	https://github.com/apache/drill
boolean	all Cols Indexed	PARAMETER	DT NPL V	Java	drill	https://github.com/apache/drill
Map	all Drill bits	DECLARATION	DT NM NPL	Java	drill	https://github.com/apache/drill
vector	all Errors	DECLARATION	DT NPL	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
List	all Exprs	DECLARATION	DT NPL	Java	drill	https://github.com/apache/drill
Set	all Fields	ATTRIBUTE	DT NPL	Java	drill	https://github.com/apache/drill
boolean	all Final	PARAMETER	DT N	Java	immutables	https://github.com/immutables/immutables
List	all Labels	ATTRIBUTE	DT NPL	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
List	all Methods	PARAMETER	DT NPL	Java	cglib	https://github.com/cglib/cglib
Set	all Metrics	DECLARATION	DT NPL	Java	drill	https://github.com/apache/drill
ImmutableList	all Mirrors	FUNCTION	DT NPL	Java	immutables	https://github.com/immutables/immutables
String	all Names	PARAMETER	DT NPL	Java	cglib	https://github.com/cglib/cglib
Set	all New Schema Paths	FUNCTION	DT NM NM NPL	Java	drill	https://github.com/apache/drill
List	all Open Workspaces	FUNCTION	DT NM NPL	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
Iterable	all Options	DECLARATION	DT NPL	Java	drill	https://github.com/apache/drill
List	all Pools	PARAMETER	DT NPL	Java	drill	https://github.com/apache/drill
boolean	all Procedures Are Callable	FUNCTION	DT NPL V NM	Java	drill	https://github.com/apache/drill
String	all Projects	ATTRIBUTE	DT NPL	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
List	all Room Names	DECLARATION	DT NM NPL	Java	Openfire	https://github.com/igniterealtime/Openfire
Map	all Service Response	PARAMETER	DT NM N	Java	drill	https://github.com/apache/drill
gboolean	all set	DECLARATION	DT N	C	wireshark	https://github.com/wireshark/wireshark
bool	all space after	DECLARATION	DT N P	C	crow	https://github.com/CrowCpp/Crow
bool	all space before	DECLARATION	DT N P	C	crow	https://github.com/CrowCpp/Crow
KeyStore	all Store	ATTRIBUTE	DT N	Java	Spark	https://github.com/apache/spark
void	all Streams Finished	FUNCTION	DT NPL V	Java	drill	https://github.com/apache/drill
int*	all synced	FUNCTION	DT V	C	ovs	https://github.com/openvswitch/ovs
bool	all Users	PARAMETER	DT NPL	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
ELoginRegister	allow login or register	ATTRIBUTE	V V CJ V	C	freeminer	https://github.com/freeminer/freeminer
int	among	PARAMETER	P	C++	rigraph	https://github.com/igraph/rigraph
i64	an Size	PARAMETER	NM N	C	ccv	https://github.com/liuliu/ccv
checkout_conflictdata	ancestor out	PARAMETER	NM N	C	git2r	https://github.com/ropensci/git2r
Object	and	DECLARATION	CJ	Java	immutables	https://github.com/immutables/immutables
DruidFilter	and Filter At Index	FUNCTION	NM N P N	Java	drill	https://github.com/apache/drill
AndNode	and Node	PARAMETER	NM N	Java	drill	https://github.com/apache/drill
byte	another ID	PARAMETER	DT N	Java	Openfire	https://github.com/igniterealtime/Openfire
bool	any diffuse	ATTRIBUTE	DT N	C	panda3d	https://github.com/panda3d/panda3d
primitive	any hidden	PARAMETER	DT NM	C++	panda3d	https://github.com/panda3d/panda3d
String	APPLICATION INFO 2	ATTRIBUTE	NM N D	Java	Spark	https://github.com/apache/spark
class	are Unities in Shape	CLASS	V NPL P N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
Control	arg 1	PARAMETER	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
DoublePointer	arg 18	PARAMETER	N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
long	arg 26	PARAMETER	N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
long	arg 29	PARAMETER	N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
long	arg 31	PARAMETER	N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
boolean	as Array	ATTRIBUTE	P N	Java	drill	https://github.com/apache/drill
DCArrayParameter*	as array parameter	FUNCTION	P NM N	C++	panda3d	https://github.com/panda3d/panda3d
int	as binary	ATTRIBUTE	P N	C	rigraph	https://github.com/igraph/rigraph
BoundingBox*	as bounding box	FUNCTION	P NM N	C++	panda3d	https://github.com/panda3d/panda3d
char*	as C String	FUNCTION	P NM N	C++	freeminer	https://github.com/freeminer/freeminer
Object	as Diamond	DECLARATION	P N	Java	immutables	https://github.com/immutables/immutables
double[]	as Double	FUNCTION	P N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
DCField*	as field	FUNCTION	P N	C++	panda3d	https://github.com/panda3d/panda3d
git_diff_file	as file	PARAMETER	P N	C	git2r	https://github.com/ropensci/git2r
Function	as Function	ATTRIBUTE	P N	Java	guava	https://github.com/google/guava
CPPFunctionType*	as function type	FUNCTION	P NM N	C++	panda3d	https://github.com/panda3d/panda3d
ASIdentifiers	as id	PARAMETER	NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
Int64	as Int64	FUNCTION	P N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
long	as Long	DECLARATION	P N	Java	guava	https://github.com/google/guava
MapWriter	as Map	FUNCTION	P N	Java	drill	https://github.com/apache/drill
DCMolecularField*	as molecular field	FUNCTION	P NM N	C++	panda3d	https://github.com/panda3d/panda3d
double	as of	PARAMETER	P P	C	panda3d	https://github.com/panda3d/panda3d
void*	as pointer	FUNCTION	P N	C++	panda3d	https://github.com/panda3d/panda3d
ByteBuf	as Read Only	FUNCTION	P V VM	Java	drill	https://github.com/apache/drill
DCSimpleParameter*	as simple parameter	FUNCTION	P NM N	C++	panda3d	https://github.com/panda3d/panda3d
List	as Sorted Entry List	FUNCTION	P NM NM N	Java	Singularity	https://github.com/sylabs/singularity
String	as String	DECLARATION	P N	Java	immutables	https://github.com/immutables/immutables
List	as Stripes	DECLARATION	P NPL	Java	guava	https://github.com/google/guava
Expression	as Transform Generator Transform	FUNCTION	P NM NM N	Java	immutables	https://github.com/immutables/immutables
V	as V	DECLARATION	P N	Java	guava	https://github.com/google/guava
Var	as Var	FUNCTION	P N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	as warning	PARAMETER	P N	C	libxo	https://github.com/Juniper/libxo
int	as within	ATTRIBUTE	P P	C	rigraph	https://github.com/igraph/rigraph
Writer	as Writer	FUNCTION	P N	Java	guava	https://github.com/google/guava
R	at Most	FUNCTION	P DT	Java	immutables	https://github.com/immutables/immutables
int	atalk len	FUNCTION	NM N	C	wireshark	https://github.com/wireshark/wireshark
int	b 1 Index	PARAMETER	N D N	Java	drill	https://github.com/apache/drill
int	B 1110	ATTRIBUTE	N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
byte	b 3	PARAMETER	N D	Java	guava	https://github.com/google/guava
Indexer	b float 16 Indexer	DECLARATION	PRE N D N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
double	b float 16 To Double	FUNCTION	PRE N D P N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
bool	b Force 16 bpp	PARAMETER	PRE V D N	C++	panda3d	https://github.com/panda3d/panda3d
svec	b only	PARAMETER	N VM	C	ovs	https://github.com/openvswitch/ovs
int	b Stat 1	ATTRIBUTE	PRE N D	C	ccv	https://github.com/liuliu/ccv
uint64_t	bad only	DECLARATION	NM VM	C	toxcore	https://github.com/TokTok/c-toxcore
class	Base Level 1	CLASS	NM N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
class	Base Level 3	CLASS	NM N D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
uint8_t	be32 ofs	PARAMETER	NM N	C	ovs	https://github.com/openvswitch/ovs
long	before	DECLARATION	P	Java	drill	https://github.com/apache/drill
void	before Execute	FUNCTION	P V	Java	cglib	https://github.com/cglib/cglib
boolean	before First	ATTRIBUTE	P DT	Java	drill	https://github.com/apache/drill
int	before major	ATTRIBUTE	P N	C++	panda3d	https://github.com/panda3d/panda3d
int	before minor	ATTRIBUTE	P N	C++	panda3d	https://github.com/panda3d/panda3d
off_t	behind rem start	DECLARATION	P NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
off_t	behind size	PARAMETER	P N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
off_t	behind start	PARAMETER	P N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
LVecBase4	bi 0	DECLARATION	N D	C++	panda3d	https://github.com/panda3d/panda3d
class	Bind 2 Module	CLASS	V D N	Java	Smack	https://github.com/igniterealtime/Smack
int	bit Field 0	ATTRIBUTE	NM N D	Java	drill	https://github.com/apache/drill
ssize_t	bit off	DECLARATION	NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
int	bits per pixel	ATTRIBUTE	NPL P N	C	panda3d	https://github.com/panda3d/panda3d
map	blob name to last top idx	DECLARATION	NM N P DT NM N	C++	caffe	https://github.com/BVLC/caffe
u32	block count all	DECLARATION	NM N DT	C++	freeminer	https://github.com/freeminer/freeminer
void	body 0	PARAMETER	N D	C	panda3d	https://github.com/panda3d/panda3d
boolean	both Empty Selection	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
boolean	both NonEmpty Selection	DECLARATION	DT NM N	Java	drill	https://github.com/apache/drill
string	both Or All	FUNCTION	DT CJ DT	C++	freeminer	https://github.com/freeminer/freeminer
UInt32	Bt3Zip Match Finder Get Matches	FUNCTION	NM NM N V NPL	C	mgba	https://github.com/mgba-emu/mgba
char	buf 3	DECLARATION	N D	C	naemon-core	https://github.com/naemon/naemon-core
char	buf out	DECLARATION	NM N	C	naemon-core	https://github.com/naemon/naemon-core
X	buff Ptr 2	ATTRIBUTE	NM N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
char	buffer as string	ATTRIBUTE	N P N	C	weechat	https://github.com/weechat/weechat
char	buffer out	PARAMETER	NM N	C	git2r	https://github.com/ropensci/git2r
void	build Schema For 2Dimensional Dataset	FUNCTION	V N P NM N	Java	drill	https://github.com/apache/drill
String	by	ATTRIBUTE	P	Java	Smack	https://github.com/igniterealtime/Smack
byte	byte I Plus 1	DECLARATION	NM N P D	Java	drill	https://github.com/apache/drill
long	bytes in	PARAMETER	NPL NM	Java	drill	https://github.com/apache/drill
long	bytes out	PARAMETER	NPL NM	Java	drill	https://github.com/apache/drill
int64	bytes to read	DECLARATION	NPL P V	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
class	C Matrix 33	CLASS	PRE N D	C++	freeminer	https://github.com/freeminer/freeminer
SColor	c outside	DECLARATION	PRE P	C++	freeminer	https://github.com/freeminer/freeminer
int	c receive only	ATTRIBUTE	PRE V VM	C	ovs	https://github.com/openvswitch/ovs
class	C Vector 3	CLASS	PRE N D	C++	freeminer	https://github.com/freeminer/freeminer
Dtype	caffe next after	FUNCTION	PRE DT P	C++	caffe	https://github.com/BVLC/caffe
gboolean	cb service in host group each host	FUNCTION	NM N P NM N DT N	C	naemon-core	https://github.com/naemon/naemon-core
void*	ccv atan 2	FUNCTION	PRE N D	C	ccv	https://github.com/liuliu/ccv
void*	ccv cnnp batch norm add to output	FUNCTION	PRE PRE PRE PRE V P N	C	ccv	https://github.com/liuliu/ccv
ccv_numeric_data_t*	ccv get sparse matrix cell from vector	FUNCTION	PRE V NM NM N P N	C	ccv	https://github.com/liuliu/ccv
void	ccv nnc insert if prior to any	FUNCTION	PRE PRE V CJ NM P DT	C	ccv	https://github.com/liuliu/ccv
ccv_nnc_tensor_t*	ccv nnc tensor for while count	FUNCTION	PRE PRE N P NM N	C	ccv	https://github.com/liuliu/ccv
ovs_list	change set for tables	ATTRIBUTE	NM N P NPL	C	ovs	https://github.com/openvswitch/ovs
guint	chars per unit	ATTRIBUTE	NPL P N	C	wireshark	https://github.com/wireshark/wireshark
String	CHAT COBROWSE IMAGE 24 x 24	ATTRIBUTE	NM NM N D P D	Java	Spark	https://github.com/apache/spark
int	check against known hosts	FUNCTION	V P NM NPL	C	git2r	https://github.com/ropensci/git2r
internal_function*	check arrival add next nodes	FUNCTION	V N V DT NPL	C	git2r	https://github.com/ropensci/git2r
bool	check content only	PARAMETER	V N VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
bool	check last arg	FUNCTION	V DT N	C++	panda3d	https://github.com/panda3d/panda3d
int*	checkout action wd only	FUNCTION	V NM N VM	C	git2r	https://github.com/ropensci/git2r
void	clear all markers	FUNCTION	V DT NPL	C++	rigraph	https://github.com/igraph/rigraph
Builder	clear Part 1	FUNCTION	V N D	Java	drill	https://github.com/apache/drill
bool	close fd when done	PARAMETER	V N VM V	C	git2r	https://github.com/ropensci/git2r
char	cmd 1	PARAMETER	N D	C	weechat	https://github.com/weechat/weechat
int	col 1	PARAMETER	N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
LongType	col Stride 1	DECLARATION	NM N D	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
ColumnTypeMetadata_v4	column Type Metadata v 4	DECLARATION	NM NM N NM D	Java	drill	https://github.com/apache/drill
char	command 2	DECLARATION	N D	C	weechat	https://github.com/weechat/weechat
int	commit on success	PARAMETER	V P N	C	git2r	https://github.com/ropensci/git2r
int	conditional match on branch	FUNCTION	NM N P N	C	git2r	https://github.com/ropensci/git2r
List	conjuncts 1	DECLARATION	NPL D	Java	drill	https://github.com/apache/drill
conn	conn in	PARAMETER	NM N	C	ovs	https://github.com/openvswitch/ovs
DrillConnectionImpl	connection 1	DECLARATION	N D	Java	drill	https://github.com/apache/drill
ccv_cnnp_model_t	conv 0	DECLARATION	N D	C	ccv	https://github.com/liuliu/ccv
INDArray	conv 2D	FUNCTION	N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
int	conv out channels	ATTRIBUTE	NM NM NPL	C++	caffe	https://github.com/BVLC/caffe
int	conv out spatial dim	ATTRIBUTE	NM NM NM N	C++	caffe	https://github.com/BVLC/caffe
void	conv rgba4444	FUNCTION	V N	C++	panda3d	https://github.com/panda3d/panda3d
int	convert to 8 bit	PARAMETER	V P D N	C	mgba	https://github.com/mgba-emu/mgba
