TYPE,SPLIT,CONTEXT,GRAMMAR_PATTERN,LANGUAGE,SYSTEM_NAME
void,migrate Schema,FUNCTION,V N,Java,beanworks
List,migrate Table To Schema,FUNCTION,V N P N,Java,beanworks
int,migrate To Latest Version,FUNCTION,V P NM N,Java,beanworks
void,migrate To New Storage Engine,FUNCTION,V P NM NM N,Java,beanworks
long,migrate To Version,FUNCTION,V P N,Java,beanworks
int,migration Status,DECLARATION,NM N,Java,beanworks
List,migrations,DECLARATION,NPL,Java,beanworks
String,mime Type,PARAMETER,NM N,Java,netpulse
int,min Allocation Unit,PARAMETER,NM NM N,C,aeon
long,min And Max,DECLARATION,N CJ N,C++,sigma
long,min And Max Range,ATTRIBUTE,N CJ NM N,C++,sigma
size_t,min Buffer Size,DECLARATION,NM NM N,C++,neutron
long,min Height,ATTRIBUTE,NM N,C++,vortex
size_t,min Stack Depth,DECLARATION,NM NM N,C,trak
int,mipmap Level,PARAMETER,NM N,C++,prism
QString,mode,PARAMETER,N,C++,apex
int,modification Count,ATTRIBUTE,NM N,Java,dataforge
double,momentum,ATTRIBUTE,N,C++,quark
void,moth canvas,FUNCTION,PRE N,C,moth
void,moth fill region,FUNCTION,PRE V N,C,moth
void,moth init,FUNCTION,PRE V,C,moth
long,moth pixel,DECLARATION,PRE N,C,moth
int,moth render context,DECLARATION,PRE NM N,C,moth
void,moth set render context,FUNCTION,PRE V NM N,C,moth
void,moth stroke path,FUNCTION,PRE V N,C,moth
void,mount Filesystem,FUNCTION,V N,C,kron
void,move Cursor To Position,FUNCTION,V N P N,C++,vortex
List,move Node To Parent Tree,FUNCTION,V N P NM N,C++,sigma
void,move To Front,FUNCTION,V P N,C++,sigma
void,move Widget To Container,FUNCTION,V N P N,Java,webstack
bool,must Authenticate,DECLARATION,V V,Java,webstack
boolean,must Validate Input,FUNCTION,V V N,Java,springcore
bool,must Validate Schema,FUNCTION,V V N,Java,beanworks
size_t,mutex,DECLARATION,N,C++,oxide
long,mutex Lock,DECLARATION,NM N,C++,oxide
size_t,n,DECLARATION,N,C,nexus
size_t,n Count,DECLARATION,PRE N,C,libvx
String,name,PARAMETER,N,Java,springcore
Map,name 2 id,DECLARATION,N P N,Java,dataforge
String,name And Type,PARAMETER,N CJ N,Java,springcore
class,Navigation Bar,CLASS,NM N,swift,gridview
Int,navigation Controller,DECLARATION,NM N,swift,gridview
Integer,needs Compaction,DECLARATION,V N,Java,beanworks
int,needs Rebalance,DECLARATION,V N,Java,cloudkit
int,needs Update,DECLARATION,V N,Java,springcore
class,Neural Network,CLASS,NM N,C++,neutron
long,recently Hashed,DECLARATION,VM V,Java,springcore
int,next Available Free Slot,DECLARATION,DT NM NM N,Java,springcore
uint32_t,next Available Port,DECLARATION,DT NM N,C,nexus
long,next Available Slot,DECLARATION,DT NM N,Java,springcore
long,next Available Worker Thread,DECLARATION,DT NM NM N,Java,cloudkit
size_t,next Bucket,PARAMETER,DT N,C++,halcyon
long,next Entry,DECLARATION,DT N,C++,oxide
int,next Epoch,ATTRIBUTE,DT N,Java,cloudkit
uint32_t,next Frame,DECLARATION,DT N,C++,prism
int,next Page,ATTRIBUTE,DT N,Java,gridview
boolean,next Pending Migration,DECLARATION,DT NM N,Java,beanworks
bool,next Pending Retry,ATTRIBUTE,DT NM N,Java,byteforge
Double,next Polling Interval,ATTRIBUTE,DT NM N,Java,netpulse
int,next Retry Slot,DECLARATION,DT NM N,Java,pulseforge
int,next Retry Time,ATTRIBUTE,DT NM N,Java,nodelink
int,next Scheduled Task,DECLARATION,DT NM N,Java,cloudkit
int,next Sibling,ATTRIBUTE,DT N,C++,sigma
QString,next Token,DECLARATION,DT N,C++,corelib
QString,next Token,PARAMETER,DT N,C++,halcyon
size_t,next Vertex,PARAMETER,DT N,C++,prism
int,next Worker,DECLARATION,DT N,C,aurora
long,nexus bind port,FUNCTION,PRE V N,C,nexus
size_t,nexus config,DECLARATION,PRE N,C,nexus
void,nexus connect,FUNCTION,PRE V,C,nexus
long,nexus default retry count,DECLARATION,PRE NM NM N,C,nexus
uint32_t,nexus get local port,FUNCTION,PRE V NM N,C,nexus
uint32_t,nexus local port,FUNCTION,PRE NM N,C,nexus
size_t,nexus port,FUNCTION,PRE N,C,nexus
void,nexus set max retry count,FUNCTION,PRE V NM NM N,C,nexus
class,Node,CLASS,N,C++,sigma
std::string,node Type,DECLARATION,NM N,C++,sigma
std::vector,nodes,DECLARATION,NPL,C++,sigma
int,nonce,DECLARATION,N,C,zeno
int,nonce Size,DECLARATION,NM N,C,zeno
Map,normalize Features,FUNCTION,V NPL,Java,dataforge
List,normals,DECLARATION,NPL,C++,prism
void,northstar flush buffers,FUNCTION,PRE V NPL,C++,northstar
int,num kernels col 2 im,ATTRIBUTE,NM NM N P N,C++,neutron
Set,number Of Items,DECLARATION,N P NPL,Java,springcore
List,number Of Rows,PARAMETER,N P NPL,Java,gridview
void,nv 12 2 rgb,FUNCTION,N D P N,C++,pixl
String,obj 2 json,FUNCTION,N P N,Java,beanworks
class,Obj 2 Json Converter,CLASS,N P NM N,Java,beanworks
class,Observable List,CLASS,NM N,Java,gridview
int,offset,DECLARATION,N,C,nexus
long,offset And Length,PARAMETER,N CJ N,C,aeon
const char*,offset From Base Address,DECLARATION,N P NM N,C,aeon
int,offset From Start Position,PARAMETER,N P NM N,C++,sigma
void,on Activate,FUNCTION,P V,Java,webstack
void,on Attach,FUNCTION,P V,Java,webstack
void,on Button Click,FUNCTION,P N V,Java,gridview
long,on Click,DECLARATION,P N,Java,gridview
void,on Close,FUNCTION,P V,Java,netpulse
void,on Complete,FUNCTION,P V,Java,springcore
void,on Connect,FUNCTION,P V,Java,netpulse
void,on Create,FUNCTION,P V,Java,gridview
void,on Data Available,FUNCTION,P N V,Java,netpulse
void,on Data Received,FUNCTION,P N V,Java,nodelink
void,on Deactivate,FUNCTION,P V,Java,webstack
void,on Destroy,FUNCTION,P V,Java,gridview
void,on Detach,FUNCTION,P V,Java,webstack
Void,on Did Appear,FUNCTION,P V V,swift,webstack
Void,on Did Finish,FUNCTION,P V V,swift,webstack
Void,on Did Load,FUNCTION,P V V,swift,gridview
void,on Did Retry,FUNCTION,P V V,Java,pulseforge
void,on Disconnect,FUNCTION,P V,Java,nodelink
size_t,on Error,DECLARATION,P N,C,nexus
void,on Error,FUNCTION,P V,Java,nodelink
Void,on Finish Unload,FUNCTION,P V V,swift,webstack
void,on Focus,FUNCTION,P V,Java,webstack
void,on Key Press,FUNCTION,P N V,Java,gridview
void,on Load,FUNCTION,P V,Java,webstack
void,on Message,FUNCTION,P N,Java,netpulse
int,on Mouse Click,DECLARATION,P N V,Java,gridview
void,on Pause,FUNCTION,P V,Java,gridview
void,on Property Change,FUNCTION,P N V,Java,webstack
void,on Render,FUNCTION,P V,C++,prism
void,on Resize,FUNCTION,P V,Java,webstack
void,on Resume,FUNCTION,P V,Java,gridview
void,on Retry,FUNCTION,P V,Java,pulseforge
void,on Move,FUNCTION,P V,Java,webstack
void,on Size Change,FUNCTION,P N V,Java,webstack
void,on Start,FUNCTION,P V,Java,springcore
void,on State Change,FUNCTION,P N V,Java,webstack
void,on Submit,FUNCTION,P V,Java,webstack
long,on Success,DECLARATION,P N,Java,nodelink
void,on Timeout,FUNCTION,P N,Java,nodelink
void,on Update,FUNCTION,P V,Java,cloudkit
Void,on Will Appear,FUNCTION,P V V,swift,gridview
void,on Will Flush,FUNCTION,P V V,Java,byteforge
void,on Worker Exit,FUNCTION,P N V,Java,quill
void,on Audio Pause,FUNCTION,P N V,JavaScript,domkit
void,on Audio Play,FUNCTION,P N V,JavaScript,domkit
void,on Child Exit,FUNCTION,P N V,C,oxide
void,on Connection Close,FUNCTION,P N V,JavaScript,nodelink
void,on Connection Open,FUNCTION,P N V,JavaScript,nodelink
void,on Dialog Close,FUNCTION,P N V,JavaScript,domkit
void,on Element Mount,FUNCTION,P N V,JavaScript,reactlib
void,on Element Unmount,FUNCTION,P N V,JavaScript,reactlib
void,on Event Trigger,FUNCTION,P N V,Java,netpulse
void,on File Change,FUNCTION,P N V,JavaScript,nodelink
void,on Form Reset,FUNCTION,P N V,JavaScript,domkit
void,on Form Submit,FUNCTION,P N V,JavaScript,domkit
void,on Icon Click,FUNCTION,P N V,JavaScript,domkit
void,on Input Blur,FUNCTION,P N V,JavaScript,domkit
void,on Link Click,FUNCTION,P N V,JavaScript,domkit
void,on Menu Open,FUNCTION,P N V,JavaScript,domkit
void,on Mouse Enter,FUNCTION,P N V,JavaScript,domkit
void,on Mouse Leave,FUNCTION,P N V,JavaScript,domkit
void,on Mouse Move,FUNCTION,P N V,JavaScript,domkit
void,on Node Enter,FUNCTION,P N V,JavaScript,domkit
void,on Node Exit,FUNCTION,P N V,JavaScript,nodelink
void,on Page Load,FUNCTION,P N V,JavaScript,domkit
void,on Pointer Cancel,FUNCTION,P N V,JavaScript,domkit
void,on Pointer Move,FUNCTION,P N V,JavaScript,domkit
void,on Process Exit,FUNCTION,P N V,JavaScript,nodelink
void,on Signal Receive,FUNCTION,P N V,C,oxide
void,on Slot Change,FUNCTION,P N V,JavaScript,domkit
void,on Socket Close,FUNCTION,P N V,JavaScript,nodelink
void,on Socket Open,FUNCTION,P N V,JavaScript,nodelink
void,on Stream Read,FUNCTION,P N V,JavaScript,nodelink
void,on Tab Select,FUNCTION,P N V,JavaScript,domkit
void,on Thread Spawn,FUNCTION,P N V,C++,vortex
void,on Touch Move,FUNCTION,P N V,JavaScript,domkit
void,on Touch Start,FUNCTION,P N V,JavaScript,domkit
void,on Video Pause,FUNCTION,P N V,JavaScript,domkit
void,on Video Play,FUNCTION,P N V,JavaScript,domkit
void,on Window Focus,FUNCTION,P N V,JavaScript,domkit
void,on Window Resize,FUNCTION,P N V,JavaScript,domkit
void,on Window Scroll,FUNCTION,P N V,JavaScript,domkit
Real,opacity Value,ATTRIBUTE,NM N,C++,vortex
void,open And Initialize,FUNCTION,V CJ V,C,libvx
Collection,open Connections,DECLARATION,NM NPL,Java,nodelink
bool,open If Empty,FUNCTION,V CJ NM,C,forge
int*,open Sockets,DECLARATION,NM NPL,C,volt
void,opt In,FUNCTION,V P,Java,springcore
void,opt Out,FUNCTION,V P,Java,springcore
void,optimize Pass,FUNCTION,V N,C++,corelib
vector,options,PARAMETER,NPL,C++,sigma
uint32_t,origin,ATTRIBUTE,N,C++,prism
void*,orphaned Handles,DECLARATION,NM NPL,C,coda
bool,other Connected Peer,PARAMETER,DT NM N,C,volt
int,other Input Stream,PARAMETER,DT NM N,Java,springcore
uint32_t,other Node,DECLARATION,DT N,C++,sigma
long,other Thread,PARAMETER,DT N,C++,oxide
double,other Value,PARAMETER,DT N,C++,sigma
int,output Buffer,DECLARATION,NM N,C,forge
String,output Path,PARAMETER,NM N,Java,springcore
uint32_t,owner And Group,DECLARATION,N CJ N,C,drift
uint32_t,owner And Group,PARAMETER,N CJ N,C,drift
String,owner Name,ATTRIBUTE,NM N,Java,beanworks
bool,p Active Node,ATTRIBUTE,PRE NM N,C,aurora
size_t,p Buffer,DECLARATION,PRE N,C,blitz
long,p Buffer,PARAMETER,PRE N,C,ember
int,p Buffer,PARAMETER,PRE N,C,ember
size_t,p Data,ATTRIBUTE,PRE N,C,drift
unsigned,p Input Buffer,DECLARATION,PRE NM N,C,byteforge
unsigned,p Next Free Block,DECLARATION,PRE NM NM N,C,blitz
class,Packet Handler,CLASS,NM N,C++,nexus
int,packet Length,DECLARATION,NM N,C,volt
int,padding Top,DECLARATION,NM N,Java,webstack
int,page Fault,DECLARATION,NM N,C,trak
int,page Number,PARAMETER,NM N,Java,gridview
List,pair Of Values,PARAMETER,N P N,C++,quark
Collection,parallel Sort Array,FUNCTION,VM V N,Java,bytecraft
int,param 0,PARAMETER,N D,C++,sigma
List,params,PARAMETER,NPL,C++,apex
uint32_t,parent Node,ATTRIBUTE,NM N,C++,vortex
size_t,parent Or Child,DECLARATION,N CJ N,C++,helix
void,parse And Retry,FUNCTION,V CJ V,Java,aurora
void,parse And Validate,FUNCTION,V CJ V,Java,dataforge
void,parse And Validate Schema,FUNCTION,V CJ V N,Java,beanworks
void,parse Arguments,FUNCTION,V NPL,C++,oxide
void,parse Config File,FUNCTION,V NM N,C++,apex
String,parse Content Type,FUNCTION,V NM N,Java,netpulse
String,parse Header,FUNCTION,V N,Java,springcore
void,parse Or Reject,FUNCTION,V CJ V,Java,quill
uint32_t,parse State,DECLARATION,NM N,C++,corelib
int,parse str 2 int,FUNCTION,V N P N,C,forge
std::string,parse Token,FUNCTION,V N,C++,corelib
void,parse XML Document,FUNCTION,V NM N,Java,beanworks
void,partially Apply Function,FUNCTION,VM V N,C++,helix
long,partially Loaded,DECLARATION,VM V,Java,webstack
long,partially Loaded File,ATTRIBUTE,VM V N,Java,northstar
class,Particle Emitter,CLASS,NM N,C++,apex
void,partition Chunks,FUNCTION,V NPL,Java,cloudkit
int,partition Key,DECLARATION,NM N,Java,beanworks
List,partitions,DECLARATION,NPL,Java,beanworks
uint32_t,pass 2,DECLARATION,N D,C++,corelib
int,path To Config File,DECLARATION,N P NM N,C++,apex
unsigned,path To File,DECLARATION,N P N,C,forge
int,path To Output File,DECLARATION,N P NM N,C,coda
int,path To Resource,PARAMETER,N P N,Java,springcore
size_t,payload,DECLARATION,N,C,volt
unsigned,payload Size,DECLARATION,NM N,C,volt
bool,pending Tasks,DECLARATION,NM NPL,Java,springcore
bool,pending Transactions,ATTRIBUTE,NM NPL,Java,beanworks
int,pending Writes,DECLARATION,NM NPL,C,coda
class,Permission Guard,CLASS,NM N,Java,webstack
unsigned,permission Mask,ATTRIBUTE,NM N,C,trak
class,Persistent Storage Engine,CLASS,NM NM N,Java,beanworks
int,phase 1,DECLARATION,N D,C,trak
int,phase 2,DECLARATION,N D,C,trak
long,phase Out,FUNCTION,V P,Java,cloudkit
void,ping Server,FUNCTION,V N,Java,netpulse
int,pipe Handle,DECLARATION,NM N,C,coda
void,pipe Through,FUNCTION,V P,C,coda
long,pipeline,DECLARATION,N,C++,prism
class,Pipeline Stage,CLASS,NM N,C++,prism
uint32_t,pitch And Yaw,DECLARATION,N CJ N,C++,prism
long,pixel Buffer 32,DECLARATION,NM N D,C,moth
double,pixel Density,ATTRIBUTE,NM N,C,pixl
char*,pixel Format,DECLARATION,NM N,C,pixl
class,Pixel Shader,CLASS,NM N,C++,prism
int,pixels Per Inch,PARAMETER,NPL P N,C,pixl
void,pixl canvas,FUNCTION,PRE N,C,pixl
void,pixl clear,FUNCTION,PRE V,C,pixl
void,pixl draw rect,FUNCTION,PRE V N,C,pixl
char*,pixl format,DECLARATION,PRE N,C,pixl
char*,pixl pixel format,DECLARATION,PRE NM N,C,pixl
void,pixl rgba 2 bgra,FUNCTION,PRE N P N,C,pixl
void,pixl set pixel format,FUNCTION,PRE V NM N,C,pixl
void,play Sound,FUNCTION,V N,C++,apex
long,player Position,DECLARATION,NM N,C++,apex
long,plex freq,DECLARATION,PRE N,C,plex
void,plex get sample buffer,FUNCTION,PRE V NM N,C,plex
void,plex init,FUNCTION,PRE V,C,plex
void,plex mix channel,FUNCTION,PRE V N,C,plex
void,plex sample,FUNCTION,PRE N,C,plex
long,plex sample buffer,DECLARATION,PRE NM N,C,plex
class,Plugin Manager,CLASS,NM N,C++,oxide
List,plugins,DECLARATION,NPL,Java,beanworks
uint32_t,pointer To Buffer,DECLARATION,N P N,C,libvx
int,pointer To Node,DECLARATION,N P N,C,trak
void,poll Status,FUNCTION,V N,Java,netpulse
Double,polling Interval,ATTRIBUTE,NM N,Java,cloudkit
Integer,pool Size,PARAMETER,NM N,Java,cloudkit
List,pop Item From Queue,FUNCTION,V N P N,C++,oxide
uint32_t,port,PARAMETER,N,C,nexus
Integer,port 8080,DECLARATION,N D,Java,nodelink
QString,precision Mode,PARAMETER,NM N,C++,quark
int,predicate,PARAMETER,N,Java,javelin
String,predict Label,FUNCTION,V N,Java,dataforge
void,preempt Thread,FUNCTION,V N,C,trak
int,prefix,PARAMETER,N,Java,beanworks
Void,present Alert Controller,FUNCTION,V NM N,swift,gridview
size_t,previous Sibling,ATTRIBUTE,DT N,C++,sigma
int,previously Loaded,DECLARATION,VM V,Java,dataforge
Integer,primary Key Column,ATTRIBUTE,NM NM N,Java,dataforge
int,priority,DECLARATION,N,C++,corelib
Integer,priority Level,ATTRIBUTE,NM N,Java,cloudkit
class,Priority Queue,CLASS,NM N,Java,bytecraft
double,priority Value,PARAMETER,NM N,C,trak
List,process Events,FUNCTION,V NPL,C++,vortex
long,process Id,DECLARATION,NM N,C,kron
class,Process Manager,CLASS,NM N,C++,kron
Set,process Queued Messages,FUNCTION,V NM NPL,Java,springcore
void,process Request,FUNCTION,V N,Java,springcore
void,process Request Asynchronously,FUNCTION,V N VM,Java,springcore
void,process Sequentially,FUNCTION,V VM,Java,beanworks
int,producer And Consumer,DECLARATION,N CJ N,Java,netpulse
long,producer Rate,DECLARATION,NM N,Java,netpulse
long,product Code,ATTRIBUTE,NM N,Java,beanworks
void,profile Function,FUNCTION,V N,C++,helix
class,Progress Indicator,CLASS,NM N,Java,webstack
void,project Onto Plane,FUNCTION,V P N,C++,prism
Collection,properties,ATTRIBUTE,NPL,Java,springcore
class,Protocol Factory,CLASS,NM N,Java,nodelink
class,Proxy Server,CLASS,NM N,Java,netpulse
void,prune Branch,FUNCTION,V N,C++,helix
void,publish Event To Message Queue,FUNCTION,V N P NM N,Java,netpulse
void,publish Message,FUNCTION,V N,Java,netpulse
void,publish Message Asynchronously,FUNCTION,V N VM,Java,netpulse
void,publish Message To Topic,FUNCTION,V N P N,Java,netpulse
void,pulseforge flush buffers,FUNCTION,PRE V NPL,C,pulseforge
void,purge Artifacts,FUNCTION,V NPL,Java,cloudkit
int*,push Frame To Stack,FUNCTION,V N P N,C,trak
void,qore load module,FUNCTION,PRE V N,C,qore
void,qore validate config entry,FUNCTION,PRE V NM N,C,qore
class,Quaternion 4,CLASS,N D,C++,sigma
class,Query Builder,CLASS,NM N,Java,dataforge
String,query String,DECLARATION,NM N,Java,dataforge
size_t,queue Depth,PARAMETER,NM N,C++,apex
Set,queue Of Messages,DECLARATION,N P NPL,Java,netpulse
List,queued Tasks,DECLARATION,NM NPL,Java,cloudkit
Set,quietly Merge Results,FUNCTION,VM V NPL,Java,quill
int,r 0,DECLARATION,N D,C,trak
size_t,r 1,DECLARATION,N D,C,trak
Real,radius,ATTRIBUTE,N,C++,titan
void,rasterize Polygon,FUNCTION,V N,C++,prism
class,Rate Limiter,CLASS,NM N,Java,netpulse
void,read And Process Data,FUNCTION,V CJ V N,Java,dataforge
void,read And Write,FUNCTION,V CJ V,C,forge
void,read Bytes From Stream,FUNCTION,V N P N,Java,springcore
void,read Chunk From Stream,FUNCTION,V N P N,C,coda
void,read Config Entry,FUNCTION,V NM N,C++,oxide
void,read File,FUNCTION,V N,C,libvx
void,read From,FUNCTION,V P,C,forge
void,read From Disk,FUNCTION,V P N,C,coda
void,read From Socket,FUNCTION,V P N,C,nexus
String,read Header And Body,FUNCTION,V N CJ N,Java,netpulse
void,read Input Stream,FUNCTION,V NM N,Java,springcore
double,read Key And Value,FUNCTION,V N CJ N,Java,bytecraft
int,read Or Write,DECLARATION,V CJ V,C,forge
size_t,read Or Write Flag,DECLARATION,NM CJ NM N,C,coda
char*,read Or Write Mode,DECLARATION,NM CJ NM N,C,coda
int,read Position,ATTRIBUTE,NM N,C++,oxide
void,read Sensor Data,FUNCTION,V NM N,C,dusk
Integer,read Timeout,PARAMETER,NM N,Java,netpulse
uint32_t,reader And Parser,DECLARATION,N CJ N,C++,halcyon
int,reader And Writer,DECLARATION,N CJ N,C,coda
void,rebalance,FUNCTION,V,Java,cloudkit
void,rebalance Partition,FUNCTION,V N,Java,cloudkit
void,receive And Unmarshal,FUNCTION,V CJ V,Java,netpulse
boolean,recently Expired,DECLARATION,VM V,Java,cloudkit
int,recently Flushed Buffer,DECLARATION,VM V N,C,ember
Integer,recently Synced,DECLARATION,VM V,Java,aurora
int,recently Updated,ATTRIBUTE,VM NM,Java,dataforge
void,reclaim Memory,FUNCTION,V N,C,aeon
int*,reclaim Pages,FUNCTION,V NPL,C,aeon
void,reconnect If Lost,FUNCTION,V CJ NM,Java,netpulse
Map,records,ATTRIBUTE,NPL,Java,dataforge
std::vector,recursively Traverse Tree,FUNCTION,VM V N,C++,sigma
class,Red Black Tree,CLASS,NM NM N,C++,sigma
String,redirect URL,PARAMETER,NM N,Java,springcore
int,reference Count,ATTRIBUTE,NM N,C++,neutron
bool,refresh Expired Certificates,FUNCTION,V NM NPL,Java,netpulse
Set,refresh Tokens,FUNCTION,V NPL,Java,nodelink
long,register 0,DECLARATION,N D,C,trak
int,register 1,DECLARATION,N D,C,trak
void,register Callback,FUNCTION,V N,C,dusk
int,register Count,DECLARATION,NM N,C,bolt
void,register Event Listener,FUNCTION,V NM N,Java,springcore
void,register Handlers,FUNCTION,V NPL,Java,springcore
List,registered Listeners,ATTRIBUTE,NM NPL,Java,springcore
Map,registered Plugins,ATTRIBUTE,NM NPL,Java,beanworks
void,reindex Documents,FUNCTION,V NPL,Java,beanworks
std::vector,release Acquired Locks,FUNCTION,V NM NPL,C++,oxide
void,release Lock,FUNCTION,V N,C++,vortex
void,release Semaphore,FUNCTION,V N,C,trak
unsigned,remaining Disk Space,DECLARATION,NM NM N,C,coda
char*,remote Address,DECLARATION,NM N,C,nexus
class,Remote File System,CLASS,NM NM N,Java,dataforge
void,remove All Cached Entries,FUNCTION,V DT NM NPL,Java,bytecraft
void,remove All Expired Entries,FUNCTION,V DT NM NPL,Java,bytecraft
void,remove All Expired Tokens,FUNCTION,V DT NM NPL,Java,netpulse
void,remove All Listeners,FUNCTION,V DT NPL,Java,springcore
void,remove All Replicas,FUNCTION,V DT NPL,Java,cloudkit
void,remove Dead Threads,FUNCTION,V NM NPL,C++,vortex
void,remove Duplicates,FUNCTION,V NPL,Java,bytecraft
void,remove Entry From Map,FUNCTION,V N P N,Java,bytecraft
void,remove Expired Tokens,FUNCTION,V NM NPL,Java,netpulse
void,remove Last Entry,FUNCTION,V DT N,Java,bytecraft
void,remove Last Snapshot,FUNCTION,V DT N,Java,beanworks
void,remove Node From Tree,FUNCTION,V N P N,C++,sigma
void,remove Orphaned Records,FUNCTION,V NM NPL,Java,beanworks
void,remove Stale Locks,FUNCTION,V NM NPL,C++,vortex
void,remove These Elements,FUNCTION,V DT NPL,Java,bytecraft
void,render Frame,FUNCTION,V N,C++,apex
void,render Frame Quickly,FUNCTION,V N VM,C++,apex
void,render Immediately,FUNCTION,V VM,C++,prism
class,Render Pipeline,CLASS,NM N,C++,apex
void,render Scene,FUNCTION,V N,C++,apex
size_t,render Target,DECLARATION,NM N,C++,apex
uint32_t,renderer,PARAMETER,N,C++,prism
Integer,replica Count,DECLARATION,NM N,Java,cloudkit
Map,replicas,DECLARATION,NPL,Java,cloudkit
int,request And Response,DECLARATION,N CJ N,Java,springcore
String,request Body,PARAMETER,NM N,Java,springcore
class,Request Builder,CLASS,NM N,Java,springcore
float,request Latency,DECLARATION,NM N,Java,netpulse
String,request Method,DECLARATION,NM N,Java,springcore
long,required Parameters,ATTRIBUTE,NM NPL,Java,dataforge
void,reset,FUNCTION,V,C++,sigma
void,reset Global State,FUNCTION,V NM N,C,libvx
void,resize Window,FUNCTION,V N,C++,corelib
Collection,resolve Circular Dependencies,FUNCTION,V NM NPL,Java,springcore
Set,resolve Dependencies,FUNCTION,V NPL,Java,springcore
char*,resolve DNS Name,FUNCTION,V NM N,C,nexus
void,resolve Hostname,FUNCTION,V N,C,nexus
void,resolve Symbol,FUNCTION,V N,C++,corelib
class,Resolver,CLASS,N,Java,beanworks
class,Resource Loader,CLASS,NM N,Java,webstack
String,response Body,DECLARATION,NM N,Java,springcore
class,Response Builder,CLASS,NM N,Java,springcore
long,response Code,DECLARATION,NM N,Java,netpulse
Integer,result,DECLARATION,N,Java,springcore
class,Result Set,CLASS,NM N,Java,dataforge
Collection,results,DECLARATION,NPL,Java,dataforge
void,resume Coroutine,FUNCTION,V N,C++,oxide
void,retry Automatically,FUNCTION,V VM,Java,northstar
int,retry Count,ATTRIBUTE,NM N,Java,nodelink
Integer,retry Delay,DECLARATION,NM N,Java,nodelink
void,retry Host If Busy,FUNCTION,V N CJ NM,Java,pulseforge
void,retry If Failed,FUNCTION,V CJ V,Java,nodelink
float,retry Interval,PARAMETER,NM N,Java,cloudkit
void,retry Operation,FUNCTION,V N,Java,cloudkit
class,Retry Policy,CLASS,NM N,Java,cloudkit
void,revert To Snapshot,FUNCTION,V P N,Java,beanworks
void,revoke Permissions,FUNCTION,V NPL,Java,webstack
void,rewind Stream,FUNCTION,V N,C,coda
void,rgb 2 gray,FUNCTION,N P N,C++,pixl
void,rgb 2 yuv,FUNCTION,N P N,C++,pixl
void,rgb 565 2 rgb,FUNCTION,N D P N,C++,pixl
void,rgba 2 bgra,FUNCTION,N P N,C++,pixl
uint32_t,rgba 32,DECLARATION,NM D,C,pixl
void,rivet close handles,FUNCTION,PRE V NPL,C,rivet
void,rivet shutdown,FUNCTION,PRE V,C,rivet
void,rollback,FUNCTION,V,Java,beanworks
void,rollback Transaction,FUNCTION,V N,Java,dataforge
void,rotate Matrix,FUNCTION,V N,C++,prism
float,rotation,ATTRIBUTE,N,C++,titan
void,roughly Align Buffer,FUNCTION,VM V N,C,ember
void,route Request To Handler,FUNCTION,V N P N,Java,webstack
void,route Traffic To Backend Server,FUNCTION,V N P NM N,Java,cloudkit
int,row And Column,PARAMETER,N CJ N,Java,webstack
size_t,row Index,PARAMETER,NM N,C++,sigma
Set,rows,DECLARATION,NPL,Java,gridview
long,rows Per Page,DECLARATION,NPL P N,Java,gridview
void,run,FUNCTION,V,Java,springcore
void,run Asynchronously,FUNCTION,V VM,Java,springcore
void,rune decrypt data block,FUNCTION,PRE V NM N,C,rune
void,rune encrypt key,FUNCTION,PRE V N,C,rune
unsigned,rx 0,DECLARATION,N D,C,volt
uint32_t,s,PARAMETER,N,C,forge
int,s Instance,DECLARATION,PRE N,C++,apex
void,safe Delete Pointer,FUNCTION,VM V N,C++,neutron
void,safely Close Connection,FUNCTION,VM V N,Java,nodelink
void,safely Release Handle,FUNCTION,VM V N,C++,halcyon
double,salt Value,DECLARATION,NM N,C,zeno
long,sample Count,DECLARATION,NM N,C,plex
uint32_t,sample Rate,PARAMETER,NM N,C,blitz
void,sample Texture,FUNCTION,V N,C++,prism
uint32_t,samples Per Buffer,DECLARATION,NPL P N,C,plex
void,save Entity,FUNCTION,V N,Java,dataforge
void,save State To Disk,FUNCTION,V N P N,C,coda
void,save To Disk,FUNCTION,V P N,C,forge
double,scale,ATTRIBUTE,N,C++,titan
void,scale Down,FUNCTION,V P,Java,cloudkit
void,scale Texture,FUNCTION,V N,C++,titan
void,scale To Fit,FUNCTION,V P N,C++,prism
void,scale Up,FUNCTION,V P,Java,cloudkit
void,scan And Parse,FUNCTION,V CJ V,C++,helix
void*,scan Available Ports,FUNCTION,V NM NPL,C,nexus
int*,scan Open Ports,FUNCTION,V NM NPL,C,volt
class,Scene Graph,CLASS,NM N,C++,apex
void,schedule Task,FUNCTION,V N,Java,cloudkit
class,Scheduler,CLASS,N,Java,cloudkit
Integer,schema,DECLARATION,N,Java,beanworks
String,schema Name,PARAMETER,NM N,Java,dataforge
class,Schema Validator,CLASS,NM N,Java,beanworks
double,scroll Delta,DECLARATION,NM N,C++,titan
Integer,scroll Position,ATTRIBUTE,NM N,Java,gridview
class,Scroll View,CLASS,NM N,swift,webstack
void,search By Keyword,FUNCTION,V P N,Java,dataforge
String,search Query,PARAMETER,NM N,Java,dataforge
class,Secure Socket Layer,CLASS,NM NM N,Java,nodelink
