SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,ENGLISHV_SCORE,ENGLISHPRE_SCORE,POSITION_RATIO,ENGLISHN_SCORE,METHODV_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,CONTAINSDIGIT,CONTAINSCLOSEDSET,HTTP_POS
stubbing Lookup Listeners,listeners,2,3,1,1,115,1,0.1130478382110595,0.1020127981901168,0.0494638308882713,0.0766688659787178,0.0431659035384655,0.6666666666666666,-0.0176322795450687,0.1782622337341308,0.1020127981901168,0,0,False,False,"stubbing|NM,Lookup|NM,Listeners|NPL"
add before forward,before,1,3,4,1,101,6,0.2655777931213379,0.5401506423950195,0.5881446003913879,0.0294819399714469,0.0281701274216175,0.3333333333333333,0.0219417326152324,-0.0725335106253624,0.5401506423950195,1,0,False,False,"add|NM,before|NM,forward|V"
print t,t,2,2,5,2,116,3,0.151324450969696,0.2254593074321746,0.1375602185726165,0.2546012699604034,0.5885316729545593,0.5,0.2016568779945373,-0.0074663087725639,0.2254593074321746,0,0,False,False,"print|NM,t|N"
not a local branch,a,1,4,4,2,97,8,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.125691071152687,0.0,0,1,False,False,"not|VM,a|DT,local|NM,branch|N"
save Expiring Object,expiring,1,3,4,0,103,4,0.1418729275465011,0.112656719982624,0.1657945960760116,0.0639529079198837,0.1050523892045021,0.3333333333333333,0.0485290549695491,0.0,0.112656719982624,0,0,False,False,"save|V,Expiring|NM,Object|N"
i var Initializer,i,0,3,5,1,105,3,0.1253151148557663,0.1722944378852844,0.113535888493061,0.2753827273845672,0.647508978843689,0.0,0.2600262761116028,-0.0283039733767509,0.1722944378852844,0,0,False,False,"i|NM,var|NM,Initializer|N"
BKE lattice index flip,index,1,4,4,1,120,3,0.1784178912639618,0.1322621554136276,0.2067766338586807,0.0815500617027282,0.1123469769954681,0.5,0.1372797042131424,-0.0878286063671112,0.1322621554136276,0,0,False,False,"BKE|NM,lattice|NM,index|NM,flip|NM"
bound Port,bound,0,2,5,3,100,3,0.2438413351774215,0.3035346269607544,0.3104989528656006,0.04475874081254,0.0545211173593997,0.0,0.0450047366321086,0.1596864610910415,0.3035346269607544,0,0,False,False,"bound|NM,Port|N"
Patch Coord Buffer,patch,0,3,2,1,104,3,0.2147643864154815,0.1773687005043029,0.172743558883667,0.0466110408306121,0.0531974844634532,0.0,0.0666660293936729,0.0971103608608245,0.1773687005043029,0,0,False,False,"Patch|NM,Coord|NM,Buffer|N"
Xpp3 Xml Pull Parser,parser,2,4,2,0,114,3,0.0637577623128891,0.0937843918800354,0.0013575239572674,0.3327066898345947,0.2387515604496002,0.75,0.3830786645412445,0.0385593622922897,0.0937843918800354,0,0,False,False,"Xpp|NM,3|D,Xml|NM,Pull|NM,Parser|N"
echo path change,path,1,3,5,2,104,3,0.2387120872735977,0.2069627195596695,0.2373153418302536,0.0155416876077651,-0.0299466904252767,0.3333333333333333,0.0436430610716342,0.0640179887413978,0.2069627195596695,0,0,False,False,"echo|NM,path|NM,change|N"
nbr gaps,gaps,2,2,3,2,115,1,0.2058977335691452,0.1629904806613922,0.1718791127204895,0.0027733575552701,0.0422830395400524,0.5,-0.0032226659823209,0.0,0.1629904806613922,0,0,False,False,"nbr|NM,gaps|NPL"
SAVE AS 16 x 16,x,1,5,1,0,120,3,0.1114363521337509,0.10167096555233,0.1574040353298187,0.1194467321038246,0.593815803527832,0.6,0.2120887786149978,-0.0298360157757997,0.10167096555233,0,0,True,False,"SAVE|V,AS|VM,16|D,x|NM,16|D"
dof reg handoff dpp 0,dpp,1,5,4,2,112,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0,0,True,False,"dof|PRE,reg|NM,handoff|NM,dpp|N,0|D"
BLOCK CONTACT 16 x 16,block,0,5,1,0,107,3,0.2702608704566955,0.1175400018692016,0.232447013258934,0.0447019338607788,0.1412843614816665,0.0,0.0286440290510654,0.0113965924829244,0.1175400018692016,0,0,True,False,"BLOCK|NM,CONTACT|NM,16|D,x|NM,16|D"
bone Positions,bone,0,2,5,1,101,3,0.1539259850978851,0.1451409459114074,0.1305792480707168,0.0897114053368568,0.0798630788922309,0.0,0.1220632344484329,0.0,0.1451409459114074,0,0,False,False,"bone|NM,Positions|NPL"
equals Builder,equals,0,2,3,0,115,1,0.2317862212657928,0.2321585118770599,0.281638503074646,0.222416341304779,0.3370334506034851,0.0,0.3205172419548034,-0.0266580451279878,0.2321585118770599,0,0,False,False,"equals|NM,Builder|N"
param upgraded pad,pad,2,3,5,1,100,3,0.185507446527481,0.1598079949617386,0.1993683129549026,0.0932648032903671,0.2049766480922699,0.6666666666666666,0.1031619161367416,0.1047643050551414,0.1598079949617386,0,0,False,False,"param|NM,up|NM,graded|NM,pad|N"
enable Materials,enable,0,2,4,0,101,0,0.350386768579483,0.1630047857761383,0.2087530195713043,0.032204519957304,0.0977213531732559,0.0,-0.0576157234609127,-0.0380822941660881,0.1630047857761383,0,0,False,False,"enable|V,Materials|NPL"
on Factory,on,0,2,5,0,110,6,0.2464825063943863,0.372837483882904,0.5954550504684448,-0.0001800284371711,0.0506866425275802,0.0,-0.0200827289372682,-0.0151157872751355,0.372837483882904,1,0,False,False,"on|NM,Factory|N"
submodule load each,submodule,0,3,4,2,101,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,"submodule|N,load|NM,each|DT"
m all Tables Selectable,all,1,4,1,1,108,8,0.3551322817802429,0.4919635355472564,0.4235346615314483,0.0588802136480808,0.1196774318814277,0.25,-0.0082694580778479,-0.0115211270749568,0.4919635355472564,0,1,False,False,"m|PRE,all|DT,Tables|NM,Selectable|NM"
convert to 8 bit,to,1,4,5,2,111,9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0361546128988266,0.0,1,0,True,False,"convert|V,to|P,8|D,bit|N"
ds last,ds,0,2,4,2,115,3,0.0389483943581581,0.0869020372629165,0.0602599047124385,0.286861389875412,0.6986751556396484,0.0,0.2806465029716491,0.2756036818027496,0.0869020372629165,0,0,False,True,"ds|PRE,last|NM"
gimp filter tool set gyroscope,filter,1,5,4,1,114,3,0.2844597995281219,0.1081389784812927,0.0898577719926834,0.1085864305496215,0.1664965897798538,0.2,0.1374427229166031,-0.0045613460242748,0.1081389784812927,0,0,False,False,"gimp|V,filter|NM,tool|NM,set|NM,gyroscope|N"
Val Size,size,2,2,3,1,101,3,0.2347574383020401,0.1952195167541504,0.2151766866445541,0.0165922418236732,0.1286547929048538,0.5,0.1046064421534538,-0.0524435378611087,0.1952195167541504,0,0,False,False,"Val|NM,Size|N"
Xpp3 Xml Pull Parser,pull,1,4,2,0,108,3,0.5087657570838928,0.253931850194931,0.1837341636419296,0.0687927901744842,0.0752721577882766,0.5,0.0056609837338328,0.1789560914039611,0.253931850194931,0,0,False,False,"Xpp|NM,3|D,Xml|NM,Pull|NM,Parser|N"
Keras Zero Padding 1D,padding,1,4,2,0,103,4,0.1556325703859329,0.1853949129581451,0.1533605903387069,0.0164077281951904,0.0728316530585289,0.5,0.0547230802476406,0.1115680113434791,0.1853949129581451,0,0,False,False,"Keras|NM,Zero|NM,Padding|NM,1|P,D|N"
z p i,z,0,3,5,2,122,3,0.0894213914871215,0.0687421038746833,0.0547903254628181,0.4124469459056854,0.5716448426246643,0.0,0.3999021053314209,0.0691975504159927,0.0687421038746833,0,0,False,False,"z|NM,p|NM,i|N"
b next,b,0,2,3,2,98,3,0.1435672640800476,0.1785472333431244,0.2105245888233184,0.2672847509384155,0.7301797270774841,0.0,0.3194577693939209,-0.0707175284624099,0.1785472333431244,0,0,False,True,"b|NM,next|CJ"
drift term,term,2,2,3,1,109,3,0.2315080016851425,0.2056529819965362,0.1091751605272293,0.1736096441745758,0.0683729574084281,0.5,0.2081672996282577,0.184260755777359,0.2056529819965362,0,0,False,False,"drift|NM,term|N"
Context Token List Indexed Getter Decl,indexed,1,6,2,0,100,3,0.1644316017627716,0.1561549603939056,0.1345566064119339,0.1796322166919708,0.1580243557691574,0.5,0.1652910113334655,0.3040221929550171,0.1561549603939056,0,0,False,False,"Context|NM,Token|NM,List|NM,Indexed|NM,Getter|NM,Decl|N"
stash update index from diff,index,1,5,4,2,120,3,0.1784178912639618,0.1322621554136276,0.2067766338586807,0.0815500617027282,0.1123469769954681,0.4,0.1372797042131424,-0.0878286063671112,0.1322621554136276,0,0,False,False,"stash|V,update|NM,index|N,from|P,diff|N"
is Node A Left Child Leaf,a,1,6,3,1,97,8,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.125691071152687,0.0,0,1,False,False,"is|V,Node|NM,A|NM,Left|NM,Child|NM,Leaf|N"
Get Related View Data Row Double,row,1,6,4,0,119,3,0.1671719998121261,0.1504424810409546,0.2083669155836105,0.0766699686646461,0.0492452047765255,0.6666666666666666,0.0567949824035167,0.0593549609184265,0.1504424810409546,0,0,False,False,"Get|V,Related|NM,View|NM,Data|NM,Row|NM,Double|N"
is Blocked By Shutdown,is,0,4,4,1,115,12,0.2367606312036514,0.2782218158245086,0.250957190990448,0.0986509397625923,0.0834472924470901,0.0,0.1510205417871475,0.0595334731042385,0.2782218158245086,0,0,False,False,"is|V,Blocked|V,By|P,Shutdown|N"
use Atm Spread,spread,2,3,1,1,100,3,0.3101442754268646,0.1548468768596649,0.1946182250976562,0.0539410822093486,0.0792697146534919,0.6666666666666666,0.1247491762042045,0.2624090909957886,0.1548468768596649,0,0,False,False,"use|NM,Atm|NM,Spread|N"
sha256 hash,sha256,0,2,4,0,54,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"sha256|N,hash|NM"
EMPTY DIRECTORY,empty,0,2,1,2,121,0,0.2254747599363327,0.2415899336338043,0.314765453338623,-0.0017912996700033,0.0439721047878265,0.0,0.0126153845340013,-0.0499590933322906,0.2415899336338043,0,0,False,False,"EMPTY|NM,DIRECTORY|N"
Set Add Faces Points,faces,1,4,4,0,115,12,0.2278903275728225,0.1309795677661895,0.2199173122644424,-0.0426296517252922,0.0035888336133211,0.5,-0.0251607988029718,0.3728559911251068,0.1309795677661895,0,0,False,False,"Set|V,Add|NM,Faces|NM,Points|N"
rt Stream Ptr,ptr,2,3,3,1,114,3,0.0972947999835014,0.019591199234128,0.0710250362753868,0.2457167655229568,0.621597945690155,0.6666666666666666,0.2720266282558441,0.2289371788501739,0.019591199234128,0,0,False,False,"rt|NM,Stream|NM,Ptr|N"
k Dp Significand Size,size,2,4,1,1,101,3,0.2347574383020401,0.1952195167541504,0.2151766866445541,0.0165922418236732,0.1286547929048538,0.75,0.1046064421534538,-0.0524435378611087,0.1952195167541504,0,0,False,False,"k|PRE,Dp|NM,Sig|NM,nific|NM,and|CJ,Size|N"
on Ping Reply Latency,ping,1,4,4,1,103,4,0.2026780992746353,0.1238498389720916,0.0954949483275413,0.2504880428314209,0.2863844335079193,0.25,0.1829934567213058,-0.0573622584342956,0.1238498389720916,0,0,False,False,"on|P,Ping|N,Reply|DT,Latency|N"
get Commit Id,get,0,3,4,2,116,10,0.5725187063217163,0.4349799156188965,0.3191798627376556,0.0436071753501892,0.0867886617779731,0.0,0.010661625303328,-0.2550778687000274,0.4349799156188965,0,0,False,False,"get|V,Commit|NM,Id|N"
sort Field Data Type,field,1,4,1,0,100,3,0.1892496794462204,0.1537253856658935,0.2392455488443374,-0.0318027287721633,-0.0019562675151973,0.25,-0.0053257993422448,0.0218671597540378,0.1537253856658935,0,0,False,False,"sort|NM,Field|NM,Data|NM,Type|N"
m contact Motion 1,contact,1,4,1,0,116,3,0.2622289955615997,0.1240745931863784,0.0886444598436355,0.0462031252682209,0.0240127705037593,0.25,-0.0493968613445758,0.3800599575042724,0.1240745931863784,0,0,True,False,"m|PRE,contact|NM,Motion|NM,1|D"
gui buffer set time for each line,time,1,7,4,2,101,3,0.2859843671321869,0.4585520327091217,0.3268637359142303,0.1004811152815818,-0.0024434218648821,0.4285714285714285,0.0849505364894867,0.0666091591119766,0.4585520327091217,0,0,False,False,"gui|V,buffer|NM,set|NM,time|N,for|P,each|DT,line|N"
plugin name for upgrade,plugin,0,4,1,2,110,3,0.0892664790153503,0.0719057396054267,-0.0196979641914367,0.2503859400749206,0.2208171039819717,0.0,0.2316812872886657,0.2124250531196594,0.0719057396054267,0,0,False,False,"plugin|N,name|NM,for|NM,upgrade|N"
m transform Change Args,args,2,4,1,0,115,3,0.151611179113388,0.1278751492500305,0.1035401374101638,0.3608811497688293,0.5520731806755066,0.75,0.3767307698726654,0.2627250552177429,0.1278751492500305,0,0,False,False,"m|PRE,transform|NM,Change|NM,Args|N"
some Columns Indexed,indexed,2,3,4,0,100,3,0.1644316017627716,0.1561549603939056,0.1345566064119339,0.1796322166919708,0.1580243557691574,0.6666666666666666,0.1652910113334655,0.3040221929550171,0.1561549603939056,0,0,False,False,"some|DT,Columns|NPL,Indexed|NM"
mod Iface,mod,0,2,3,1,100,3,0.1385430544614792,0.0868864357471466,0.051602117717266,0.1672334223985672,0.2893106341361999,0.0,0.2420413047075271,0.0910504832863807,0.0868864357471466,0,0,False,False,"mod|NM,I|D,face|N"
all Users,all,0,2,5,1,108,8,0.3551322817802429,0.4919635355472564,0.4235346615314483,0.0588802136480808,0.1196774318814277,0.0,-0.0082694580778479,-0.0115211270749568,0.4919635355472564,0,1,False,False,"all|DT,Users|NPL"
object With To String,string,2,4,4,1,103,3,0.1982364803552627,0.1472672522068023,0.1822326183319091,0.0644094571471214,0.091351069509983,0.75,0.0487691946327686,0.0289298929274082,0.1472672522068023,0,0,False,False,"object|N,With|P,To|P,String|N"
MAIL FORWARD 16 x 16,16,2,5,1,0,54,2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,True,False,"MAIL|NM,FORWARD|NM,16|D,x|NM,16|D"
FEED ADAPTER,feed,0,2,1,1,100,3,0.3436917960643768,0.1867110878229141,0.2269123494625091,0.0463014058768749,0.1445898413658142,0.0,0.0618267729878425,0.0830722451210022,0.1867110878229141,0,0,False,False,"FEED|NM,ADAPTER|N"
this Node,node,2,2,5,0,101,3,0.0928815305233001,0.0848425552248954,0.1309961229562759,0.1393149197101593,0.1942645460367202,0.5,0.1134796068072319,0.0498703494668006,0.0848425552248954,0,0,False,False,"this|P,Node|N"
create metadata array,array,2,3,4,1,121,3,0.1487545818090438,0.1100039184093475,0.1694686412811279,-0.037932600826025,0.0355369038879871,0.6666666666666666,-0.0359182618558406,-0.0386038869619369,0.1100039184093475,0,0,False,False,"create|V,metadata|NM,array|N"
next tex,next,0,2,1,1,116,0,0.2992065250873565,0.3318409323692322,0.3625057637691498,0.0115816304460167,-0.0301890447735786,0.0,-0.0353265032172203,-0.192200094461441,0.3318409323692322,0,1,False,False,"next|NM,tex|N"
Lsm Basis System,system,2,3,2,1,109,3,0.1881494224071502,0.196482852101326,0.1551293581724167,0.0850319862365722,0.0402496606111526,0.6666666666666666,0.0798989161849021,0.2225819081068039,0.196482852101326,0,0,False,False,"Lsm|NM,Basis|NM,System|N"
last used Ypos,used,1,3,1,0,100,7,0.2412602454423904,0.2316330224275589,0.2532461583614349,0.2010846138000488,0.1089247092604637,0.3333333333333333,0.2189606130123138,0.1793500930070877,0.2316330224275589,0,0,False,False,"last|NM,used|NM,Ypos|NPL"
null Passed To Verify No More Interactions,verify,1,7,4,2,121,3,0.3976331949234009,0.208688274025917,0.1787776499986648,0.0267558060586452,0.0628767386078834,0.4285714285714285,0.0240667778998613,-0.0852934941649437,0.208688274025917,0,0,False,False,"null|NM,Passed|N,To|P,Verify|N,No|DT,More|NM,Interactions|NPL"
RETURNS SELF,self,2,2,1,2,102,3,0.1535228788852691,0.2123878002166748,0.1574165672063827,0.0980974361300468,0.0760190710425376,0.5,0.0891131237149238,0.0378859937191009,0.2123878002166748,0,0,False,False,"RETURNS|NM,SELF|N"
m perspective bias 1 vertex,m,0,5,1,1,109,3,0.1143899485468864,0.0754066482186317,0.117298424243927,0.1478965580463409,0.5780587792396545,0.0,0.1687702536582946,-0.1699012070894241,0.0754066482186317,0,0,True,False,"m|PRE,perspective|NM,bias|NM,1|D,vertex|N"
Temperature Cauchy 1 D,d,2,4,2,1,100,3,0.1659664660692215,0.1358334273099899,0.1598300188779831,0.1970153748989105,0.6901897192001343,0.75,0.2407816052436828,-0.1282731294631958,0.1358334273099899,0,0,True,False,"Temperature|NM,Cauchy|NM,1|P,D|N"
as Int64,int64,2,2,4,1,52,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,False,False,"as|P,Int64|N"
Get Total Disk Space,disk,1,4,2,0,107,3,0.1284434348344802,0.1005508154630661,0.08903069794178,0.048892855644226,0.1159218475222587,0.5,0.0474336892366409,0.2274467349052429,0.1005508154630661,0,0,False,False,"Get|NM,Total|NM,Disk|NM,Space|N"
Caplet Variance Curve,caplet,0,3,2,1,116,3,0.0132339606061577,0.0466074235737323,-0.0092030055820941,0.1576150506734848,0.2237970381975174,0.0,0.1796373575925827,0.0,0.0466074235737323,0,0,False,False,"Cap|NM,let|NM,Variance|NM,Curve|N"
matcher Builder,matcher,0,2,1,0,114,3,0.1564291417598724,0.1487098187208175,0.1264896541833877,0.1637898087501526,0.2736480832099914,0.0,0.2176328301429748,0.1992649137973785,0.1487098187208175,0,0,False,False,"matcher|NM,Builder|N"
Java11 Web Socket,java11,0,3,2,0,49,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"Java|NM,11|D,Web|NM,Socket|N"
in Mem Count,in,0,3,5,0,110,6,0.2683225274085998,0.4491936564445495,0.6486442685127258,0.0024078781716525,0.0506594330072402,0.0,0.0282606501132249,0.0142240058630704,0.4491936564445495,1,0,False,False,"in|NM,Mem|NM,Count|N"
prev nonsingleton,prev,0,2,1,1,118,3,0.0815033912658691,0.1211784556508064,0.1565635651350021,0.1547360271215438,0.4684841632843017,0.0,0.175140231847763,0.052177358418703,0.1211784556508064,0,0,False,False,"prev|NM,no|DT,n|NM,singleton|N"
vector 2,2,2,2,5,1,50,2,0.1063688024878501,0.117492489516735,0.2279904335737228,0.0115420743823051,0.3298133611679077,0.5,-0.0142195243388414,0.0,0.117492489516735,0,0,True,False,"vector|NM,2|D"
get Working Directory,directory,2,3,4,2,121,3,0.1599659323692321,0.0945257022976875,0.0576058290898799,0.1827661991119384,0.160244271159172,0.6666666666666666,0.1812477707862854,0.1959081590175628,0.0945257022976875,0,0,False,False,"get|V,Working|NM,Directory|N"
SK Editor Consumer,sk,0,3,2,1,107,3,0.0443829707801342,0.0344909764826297,0.0207491666078567,0.316627562046051,0.5875800848007202,0.0,0.2952539622783661,0.0,0.0344909764826297,0,0,False,False,"SK|NM,Editor|NM,Consumer|N"
a Throwable,a,0,2,5,0,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125691071152687,0.0,0,1,False,False,"a|PRE,Throwable|N"
report No Setter Found,report,0,4,4,2,116,3,0.1845666617155075,0.1451627165079116,0.1219874247908592,-0.0319459177553653,-0.0158469025045633,0.0,-0.0506038591265678,0.0512867979705333,0.1451627165079116,0,0,False,False,"report|NM,No|DT,Setter|NM,Found|N"
label Regex,regex,2,2,1,0,120,3,0.163830816745758,0.1850411295890808,0.0958678349852562,0.4264065027236938,0.3371593654155731,0.5,0.4031173586845398,0.2782604694366455,0.1850411295890808,0,0,False,False,"label|NM,Regex|N"
add Bias To Embedding,embedding,2,4,1,2,103,4,0.2041293531656265,0.0908737108111381,0.0808198451995849,0.1172521784901619,0.1028159409761428,0.75,0.1442923992872238,0.1617899090051651,0.0908737108111381,0,0,False,False,"add|V,Bias|NM,To|P,Embedding|N"
request bytes,bytes,2,2,3,1,115,1,0.075325883924961,0.1031716093420982,0.0703287869691848,0.2506304085254669,0.3572212159633636,0.5,0.2592963874340057,0.1409230083227157,0.1031716093420982,0,0,False,False,"request|NM,bytes|NPL"
array Class,array,0,2,5,0,121,3,0.1487545818090438,0.1100039184093475,0.1694686412811279,-0.037932600826025,0.0355369038879871,0.0,-0.0359182618558406,-0.0386038869619369,0.1100039184093475,0,0,False,False,"array|NM,Class|N"
append Python Style Escaped Code Point,point,2,6,4,1,116,3,0.2569653987884521,0.3079903125762939,0.3012173175811767,0.1040739491581916,0.0842726528644561,0.8333333333333334,0.129762127995491,0.0991393625736236,0.3079903125762939,0,0,False,False,"append|V,Python|NM,Style|NM,Escaped|NM,Code|NM,Point|N"
s3fs read link,s3fs,0,3,4,1,115,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"s|NPL,3|P,fs|NM,read|NM,link|N"
from JID,from,0,2,5,0,109,6,0.198530912399292,0.3632298111915588,0.5480725169181824,-0.0356383360922336,0.0728794783353805,0.0,-0.0054605570621788,0.0369082018733024,0.3632298111915588,1,0,False,False,"from|NM,JID|N"
a Void,a,0,2,5,0,97,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125691071152687,0.0,0,1,False,False,"a|PRE,Void|N"
gui buffer set time for each line,each,1,7,4,2,104,8,0.2037737965583801,0.3277014493942261,0.3740190863609314,0.079978160560131,0.100510835647583,0.7142857142857143,0.0657198131084442,0.0639116466045379,0.3277014493942261,0,1,False,False,"gui|V,buffer|NM,set|NM,time|N,for|P,each|DT,line|N"
all Service Response,all,0,3,5,0,108,8,0.3551322817802429,0.4919635355472564,0.4235346615314483,0.0588802136480808,0.1196774318814277,0.0,-0.0082694580778479,-0.0115211270749568,0.4919635355472564,0,1,False,False,"all|DT,Service|NM,Response|N"
period no Period,period,2,3,1,0,100,3,0.1569898426532745,0.2233164310455322,0.2493665218353271,0.0718944072723388,0.0033840702380985,0.6666666666666666,0.0366353765130043,0.2978048622608185,0.2233164310455322,0,0,False,False,"period|NM,no|DT,Period|N"
mx Bean,bean,2,2,3,0,110,3,0.1254225224256515,0.1578882485628128,0.1788478791713714,0.1922677457332611,0.2211408168077469,0.5,0.1794360876083374,0.135254681110382,0.1578882485628128,0,0,False,False,"mx|NM,Bean|N"
next Integer If Not EOF,if,1,5,4,0,102,6,0.4507812559604645,0.7985743880271912,0.4129048585891723,0.1638399064540863,0.0963532105088234,0.4,0.1203984916210174,0.2157370448112487,0.7985743880271912,0,0,False,False,"next|NM,Integer|NM,If|P,Not|VM,EOF|N"
http2 Error Code,code,2,3,5,0,101,3,0.1544579863548278,0.1667362749576568,0.1104077398777008,0.2295663803815841,0.1634961068630218,0.6666666666666666,0.2403090447187423,0.0666492208838462,0.1667362749576568,0,0,False,False,"http|NM,2|D,Error|NM,Code|N"
inkey bio,inkey,0,2,3,2,121,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"in|N,key|NM,bio|N"
referee Set Map,map,2,3,5,0,112,3,0.210561603307724,0.1280619204044342,0.1694879978895187,0.0515389032661914,0.0510189086198806,0.6666666666666666,0.064692847430706,-0.0746730417013168,0.1280619204044342,0,0,False,False,"referee|NM,Set|NM,Map|N"
t s now,s,1,3,3,1,115,3,0.0980175286531448,0.0946054831147193,0.1707397997379303,0.1754753142595291,0.4368228614330292,0.3333333333333333,0.1049546003341674,-0.0527887716889381,0.0946054831147193,0,0,False,True,"t|NM,s|NM,now|N"
PREF FONT,pref,0,2,1,1,102,3,0.1699948906898498,0.1319934278726577,0.0768334567546844,0.2163644880056381,0.3941529095172882,0.0,0.2054380625486374,0.232518583536148,0.1319934278726577,0,0,False,False,"PREF|NM,FONT|N"
Warning Failure Exception,exception,2,3,2,1,110,3,0.1970513612031936,0.2495998293161392,0.243001788854599,0.0691963359713554,0.0577872246503829,0.6666666666666666,0.1131159961223602,0.1245534196496009,0.2495998293161392,0,0,False,False,"Warning|NM,Failure|NM,Exception|N"
follow Component,component,2,2,4,0,116,3,0.1901961863040924,0.1451960504055023,0.1320167034864425,0.1566043496131897,0.1200560256838798,0.5,0.2216691374778747,0.0321325287222862,0.1451960504055023,0,0,False,False,"follow|V,Component|N"
handled Boxes,boxes,2,2,1,0,115,1,0.145394742488861,0.103504829108715,0.1701999753713607,0.0457994192838668,0.0917161181569099,0.5,0.0386915989220142,0.0,0.103504829108715,0,0,False,False,"handled|NM,Boxes|NPL"
is HTTP11,http11,2,2,4,1,49,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,False,False,"is|V,HTTP|N,11|D"
Heat Vision Listener,listener,2,3,2,1,114,3,0.1329492479562759,0.1406813710927963,0.0370409041643142,0.2165539264678955,0.0707093328237533,0.6666666666666666,0.1342559456825256,0.1945492923259735,0.1406813710927963,0,0,False,False,"Heat|NM,Vision|NM,Listener|N"
some air,some,0,2,3,1,101,8,0.3670180141925812,0.4350351095199585,0.3743841648101806,0.0438825711607933,0.0292000398039817,0.0,-0.0065267034806311,0.1835414916276931,0.4350351095199585,0,1,False,False,"some|DT,air|N"
for Socks4 Proxy,socks4,1,3,4,0,52,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,False,False,"for|P,Socks4|NM,Proxy|N"
Bt3Zip Match Finder Get Matches,get,1,5,4,2,116,10,0.5725187063217163,0.4349799156188965,0.3191798627376556,0.0436071753501892,0.0867886617779731,0.6,0.010661625303328,-0.2550778687000274,0.4349799156188965,0,0,False,False,"Bt|N,3|P,Zip|NM,Match|NM,Finder|NM,Get|N,Matches|NPL"
Separable Convolution 2D,convolution,1,3,2,0,110,3,0.1297224014997482,0.1172585040330886,0.0632511675357818,0.2319083511829376,0.2292577624320984,0.3333333333333333,0.3058464527130127,0.3821259140968323,0.1172585040330886,0,0,False,False,"Separable|NM,Convolution|NM,2|P,D|N"
Default Mocking Details,default,0,3,2,0,116,3,0.1782739460468292,0.1684462130069732,0.1206292659044265,0.1593910157680511,0.1614806801080703,0.0,0.1734899133443832,0.1411328613758087,0.1684462130069732,0,0,False,False,"Default|NM,Mocking|NM,Details|N"
gimp eraser default,default,2,3,4,0,116,3,0.1782739460468292,0.1684462130069732,0.1206292659044265,0.1593910157680511,0.1614806801080703,0.6666666666666666,0.1734899133443832,0.1411328613758087,0.1684462130069732,0,0,False,False,"gimp|NM,eraser|NM,default|N"
bit Field 0,bit,0,3,1,0,116,3,0.2791468799114227,0.3744148313999176,0.2820024788379669,0.1341986507177353,0.1704151332378387,0.0,0.1237596720457077,0.1861320436000824,0.3744148313999176,0,0,True,False,"bit|NM,Field|NM,0|D"
get Failure Timestamp,get,0,3,4,0,116,10,0.5725187063217163,0.4349799156188965,0.3191798627376556,0.0436071753501892,0.0867886617779731,0.0,0.010661625303328,-0.2550778687000274,0.4349799156188965,0,0,False,False,"get|V,Failure|NM,Timestamp|N"
assign Lexer Token Types,types,2,4,4,0,115,1,0.2345804572105407,0.245949313044548,0.2370483726263046,0.0512355305254459,0.1192837655544281,0.75,0.2104538232088089,0.1389968395233154,0.245949313044548,0,0,False,False,"assign|V,Lexer|NM,Token|NM,Types|NPL"
save Every Ms,ms,2,3,1,0,115,3,0.008989312686026,0.0750225782394409,0.0212647877633571,0.245663970708847,0.4704091846942901,0.6666666666666666,0.2901920676231384,0.3277613520622253,0.0750225782394409,0,0,False,False,"save|NM,Every|DT,Ms|N"
all space before,before,2,3,3,2,101,6,0.2655777931213379,0.5401506423950195,0.5881446003913879,0.0294819399714469,0.0281701274216175,0.6666666666666666,0.0219417326152324,-0.0725335106253624,0.5401506423950195,1,0,False,True,"all|DT,space|NM,before|P"
