WORD,TAG,POS_SEQUENCE
raster,NM,c:PRE burning:NM shader:NM raster:NM reference:N
type,N,in:P expected:NM rpc:NM type:N
with,P,object:V with:P to:P string:N
after,P,after:P handle:V
sock,NM,sock:NM 4:D
menu,NM,remove:V from:P menu:NM bar:N
with,P,ofp:PRE buf:PRE clone:N with:P headroom:N
link,NM,link:NM name:N
truncate,V,add:V no:DT truncate:V cache:N
on,P,m:PRE execute:V on:P host:N
property,NM,token:NM property:NM ref:NM channel:N
every,DT,save:V every:DT ms:NM
out,NM,out:NM file:N
u8,NM,ko:PRE rgb:NM u8:NM invert:NM color:NM transformation:N
query,N,limit:NM 0:D query:N
since,P,til:P or:CJ since:P
add,V,add:V before:P forward:N
fbo,NM,m:PRE fbo:NM height:N
no,N,save:V err:NM no:N
s3,NM,s3:NM uploader:NM key:NM pattern:N
max,NM,set:V has:V blob:N included:V in:P max:NM row:NM size:N
time,N,gui:PRE buffer:PRE set:V time:N for:P each:DT line:N
1110,D,b:PRE 1110:D
equals,NPL,after:P equals:NPL
merge,V,to:P merge:V
parent,NM,parent:NM field:N
after,P,after:P release:N
create,V,create:V sub:NM buffer:N
filter,N,reapply:V filter:N
convert,V,convert:V to:P 8:D bit:N
string,N,on:P query:NM string:N
window,NM,type:NM window:NM update:N
state,N,get:V default:NM install:NM state:N
file,N,labels:NPL file:N
conv,NM,conv:NM out:NM spatial:NM dim:N
f,PRE,f:PRE m:N m:N
fts5,PRE,sqlite3:PRE fts5:PRE parser:N fallback:V
data,NM,last:DT data:NM purge:N
if,NM,if:NM width:N
id,N,clear:V active:NM id:N
on,P,on:P metric:NM removed:V
file,NM,file:NM system:NM archive:N
source,NM,find:V source:NM subdir:N
put,V,put:V watch:NM request:N
counter,N,float:NM day:NM counter:N
mod,N,message:N after:P mod:N
use,V,use:V atm:NM spread:N
var,NM,gui:PRE buffer:PRE local:NM var:NM remove:V all:DT
comp,NM,comp:NM mask:N
scene,NM,c:PRE animated:NM mesh:NM scene:NM node:N
all,DT,all:DT labels:NPL
a,DT,a:DT cap:N
default,NM,default:NM answer:N
error,NM,error:NM 2:D
text,NM,text:NM paint:NM view:N
of,P,number:N of:P joysticks:NPL
not,VM,check:V not:VM interface:N
replication,NM,basic:NM replication:NM request:N
builder,N,equals:NM builder:N
row,NM,get:V related:NM view:NM data:NM row:NM double:N
adler,NM,adler:NM 1:D
search,NM,text:NM search:NM where:VM
size,N,over:P size:N
hash,NM,murmur3:PRE 128:D hash:NM function:N
38,D,decimal:N 38:D dense:N
on,P,on:P server:N egress:N paused:V
of,P,end:N of:P record:N
type,N,odf:NM symbol:NM type:N
prop,NM,in:P prop:NM name:N
num,N,buf:NM num:N
c,PRE,c:PRE at:NM grayscale:N
s3fs,NM,s3fs:NM oper:N
count,NM,m:PRE count:NM activities:NPL
index,N,and:NM filter:N at:P index:N
names,NPL,all:DT names:NPL
to,P,m:PRE name:N to:P id:N
grpc,PRE,grpc:PRE chttp2:PRE mark:V stream:NM writable:N
tiff,NM,tiff:NM current:NM tile:N
last,DT,check:V last:DT arg:N
as,P,as:P file:N
b3,PRE,b3:PRE push:V profile:NM timing:N
on,P,on:P connection:NM close:V
read,V,png:NM read:V idat:NM data:N
to,P,r:PRE igraph:PRE 0:D or:CJ vector:NM bool:N to:P sexp:N
gops,NPL,num:N of:P gops:NPL
eglew,PRE,eglew:PRE create:V platform:NM window:NM surface:N
2,D,igraph:PRE 2:D w:VM heap:N init:V
element,N,to:P element:N
fragment,NM,next:DT fragment:NM expression:N
drawing,NM,label:NM drawing:NM widget:N
node,N,and:NM node:N
dir,N,projects:NM dir:N
provided,V,provided:V
build,NM,abstract:NM build:NM execution:N
size,N,size:N from:P ipv4:N
indx,NM,m:PRE is:V indx:NM present:N
next,DT,state:NM next:DT
joint,NM,joint:NM start:N
record,NM,a:PRE old:NM record:NM 1:D
next,DT,next:DT generated:V
even,N,even:N
added,NM,added:NM unicode:NM smp:N
container,NM,container:NM tab:NM bar:N
system,N,color:NM conversion:NM system:N
enabled,NM,enabled:NM subdevices:NPL
enabled,V,only:VM impersonation:N enabled:V
default,NM,default:NM look:N
inclusive,N,from:P inclusive:N
1,D,adler:NM 1:D
from,P,from:P byte:NM buffers:NPL
plfit,NM,plfit:NM errno:V
implementation,N,for:P implementation:N
size,N,palette:NM size:N
lines,NPL,lines:NPL in:P hunk:N
sibling,NM,sibling:NM info:N
resolver,N,ares:NM dns:NM resolver:N
of,P,extract:V raw:NM type:NM of:P
it,N,str:NM 2:P it:N
last,DT,last:DT rel:NM node:N
controller,NM,project:NM controller:NM private:NM
time,N,su:NM time:N
header,NM,on:P multipart:NM header:NM field:N
dynamic,NM,dynamic:NM table:NM index:N
list,NM,max:NM v:N 4:D frag:NM list:NM size:N
schema,N,provided:V schema:N
size,N,desktop:NM size:N
activity,N,last:DT activity:N
function,N,left:NM recursive:NM rule:NM function:N
categories,NPL,child:NM categories:NPL
term,N,last:DT term:N
a,N,a:N
new,NM,the:DT new:NM filter:N
bodies,NPL,set:V dampen:V on:P bodies:NPL
preview,NM,m:PRE preview:NM started:NM
2,P,im:N 2:P col:N 2d:NM
boxes,NPL,handled:NM boxes:NPL
bt,PRE,bt:PRE deformable:NM contact:NM constraint:N
some,DT,some:DT data:NM not:VM displayed:N
task,NM,task:NM impl:N
as,P,as:P bounding:NM box:N
scan,NM,join:V mj:NM id:N 2:P scan:NM mj:NM id:N
tx1523,PRE,tx1523:PRE to:P max:NM packets:NPL
is,V,is:V supports:V limit:NM push:V down:P
no,DT,no:DT lock:NM lock:NM
decode,V,string:N base16:NM decode:V
o,NM,o:NM 2:D
vlan,N,out:NM vlan:N
ambient,N,ambient:N
as,P,as:P function:N
git,PRE,git:PRE fs:PRE path:N to:P dir:N
open,NM,all:DT open:NM files:NPL string:N
points,NPL,control:NM points:NPL
iter,NM,fts5:PRE seg:NM iter:NM clear:V
client,NM,physics:NPL client:NM example:N
stream,N,git:PRE delta:PRE read:V header:N from:P stream:N
failure,NM,get:V failure:NM timestamp:N
left,DT,left:DT to:P parse:V
out,NM,out:NM messages:NPL
do,V,do:V print:NM after:P
check,V,check:V writeable:N
charuco,NM,current:NM charuco:NM corners:NPL
has,V,has:V on:P activate:V
empty,N,open:NM if:CJ empty:N
file,N,html:NM file:N
s,NM,s:NM o:NM file:N
yyp,D,fts5:NM yyp:D parser:N
run,V,run:V once:VM
api,NM,weechat:PRE guile:N api:NM string:NM input:N for:P buffer:N
for,P,t:N for:P deser:N
name,N,node:N find:V output:N by:P name:N
scan,V,scan:V for:P sliders:NPL
variance,N,piecewise:PRE constant:NM abcd:NM variance:N
tick,NM,sm83:PRE tick:NM internal:NM
path,NM,lp:PRE binary:NM path:NM name:N
up,VM,is:V step:N up:VM
type,N,else:NM type:N
m,PRE,m:PRE sbox:N 4:D
longitude,N,get:V longitude:N
tree,NM,tree:NM and:CJ info:N
upsampling,NM,upsampling:NM 2d:NM
size,N,max:NM v:N 4:D frag:NM list:NM size:N
text,NM,read:V text:NM file:N
branch,N,conditional:NM match:N on:P branch:N
java11,PRE,java11:PRE web:NM socket:NM factory:N
next,DT,next:DT local:N
4,D,sock:NM 4:D
arg,N,arg:N mismatch:NM stubbings:NPL
datas,NPL,reference:NM index:NM meta:NM datas:NPL
this,DT,this:DT iteration:N
address,N,address:N type:NM ipv4:N
object,V,object:V with:P to:P string:N
begin,N,key:NM begin:N
for,NM,for:NM backprop:N
str,N,cmd:N str:N
cpp,NM,cpp:NM generator:NM services:NPL
dl,N,dl:N now:VM
update,NM,update:NM area:N
range,N,next:DT date:NM range:N
name,N,if:NM name:N
ret,N,err:NM ret:N
do,V,do:V adjust:V this:DT size:N
verifier,NM,verifier:NM get:V mapping:N
line,N,time:N for:P each:DT line:N
1d,NM,cropping:N 1d:NM
col,N,force:V nd:NM im:N 2:P col:N
show,V,show:V string:N for:P add:V
consumer,N,sk:NM editor:NM consumer:N
h,N,q:NM 0:D h:N
x,N,value:NM x:N
sizes,NPL,layer:NM sizes:NPL
world,N,world:N to:P screen:N
convolution,N,depthwise:NM convolution:N 2d:NM
map,N,pre:P map:N
brush,NM,brush:NM hatch:N
cost,N,next:DT cast:NM cost:N
read,V,read:V white:NM space:N
ccv,PRE,ccv:PRE atan:N 2:D
build,V,build:V schema:N for:P 2dimensional:NM dataset:N
all,DT,str:N all:DT
object,N,of:PRE android:NM object:N
simulate,V,simulate:V gc:N
shadows,NM,use:V shadows:NM 1:D
1,D,chars:NPL 1:D
x,NM,x:NM 2:D
class,NM,validate:V class:NM rules:NPL
queue,N,m:PRE first:NM render:NM queue:N
2,D,error:NM 2:D
irc,PRE,irc:PRE batch:PRE free:V all:DT
unary,NM,with:P unary:NM operator:N
for,P,for:P attribute:N
reporter,NM,problem:NM reporter:NM factory:N
r,N,r:N hdr:N
decls,NPL,attribute:NM decls:NPL
str,N,str:N all:DT
connect,N,on:P connect:N
when,VM,close:V fd:N when:VM done:V
result,N,auth:NM result:N
media,NM,media:NM chunk:NM index:N
obj,NM,obj:NM 0:D
is,V,m:PRE is:V worker:N done:NM
base16,NM,string:N base16:NM encode:V
force,V,force:V fog:NM off:P
translation,N,cone:NM translation:N
variables,NPL,variables:NPL
only,VM,only:VM in:P ground:N
to,P,to:P register:V
size,N,size:N contents:NPL
f,N,f:N cos:N
details,NPL,default:NM mocking:NM details:NPL
light,NM,light:NM attenuation:NM value:N
pass,NM,pass:NM machine:NM instructions:NPL
load,V,m:PRE psp:N 2:D load:V rom:N
action,NM,in:P action:NM code:N
as,P,save:V as:P quadratic:NM png:N
for,P,check:V for:P host:NM flapping:N
box,N,as:P bounding:NM box:N
63,D,field:N 63:D
and,CJ,look:NM and:CJ feel:N
18,D,arg:N 18:D
type,NM,scene:NM node:NM type:NM name:N
now,VM,now:VM time:N
rgb,NM,rgb:NM 2:P rgb565:N
index,N,last:DT write:NM index:N
info,N,this:DT service:NM ext:NM info:N
prel,N,out:NM prel:N
in,P,lines:NPL in:P hunk:N
backward,N,net:PRE before:P backward:N
filter,N,from:P room:NM filter:N
callback,N,sqlite3:PRE rtree:NM geometry:NM callback:N
blocked,NM,is:V blocked:NM by:P shutdown:N
repo,N,to:P repo:N
id,N,transform:NM unique:NM id:N
attribs,N,gl:PRE config:NM attribs:N
output,NM,output:NM array:N
time,N,time:N from:P last:DT punch:N
of,P,plus:P of:P this:DT
equals,NM,equals:NM builder:N
had,NM,parent:N had:NM big:NM change:N
func,N,next:DT func:N
fallback,N,need:NM fallback:N
action,NM,all:DT action:NM roots:NPL
reference,NM,reference:NM range:N
git,PRE,git:PRE repository:PRE head:N detached:V for:P work:NM tree:N
unique,NM,transform:NM unique:NM id:N
component,N,extract:V component:N
whitespace,NM,skip:V whitespace:NM and:CJ commas:N
down,NM,down:NM sample:N
host,N,add:V parent:N to:P host:N
angle,NM,angle:NM in:P radian:N
8,D,expression:N 8:D
buffer,N,classfile:NM buffer:N
colour,N,get:V diffuse:NM colour:N
next,DT,check:V arrival:N add:V next:DT nodes:NPL
metadata,NM,column:NM type:NM metadata:NM v:NM 4:D
timeouts,NPL,configure:NM timeouts:NPL
class,N,factory:NM class:N
timing,N,b3:PRE push:V profile:NM timing:N
rows,NPL,expect:V rows:NPL
datum,N,ovs:PRE db:PRE transient:NM datum:N from:P json:N
read,V,git:PRE delta:PRE read:V header:N from:P stream:N
sqlite3,PRE,sqlite3:PRE fts3:PRE hash:NM insert:V
2,D,node:NM 2:D
shuffling,NM,too:VM many:NM shuffling:NM tasks:NPL
is,V,is:V dir:N 2:D
xpp3,PRE,xpp3:PRE xml:NM pull:NM parser:NM factory:N
context,NM,context:NM length:N
data,N,more:DT data:N
tab,NM,tab:NM overlap:N
first,NM,m:PRE first:NM render:NM queue:N
basket,NM,basket:NM payoff:N
last,DT,last:DT answered:NM request:NM id:N
project,NM,project:NM controller:NM private:NM
original,NM,original:NM set:N
path,N,merge:V driver:NM name:N for:P path:N
m,PRE,m:PRE all:DT tables:NPL selectable:NM
every,DT,save:V every:DT since:CJ last:DT
wrapped,NM,in:P order:N wrapped:NM verification:NM mode:N
interfaces,NPL,no:DT interfaces:NPL
that,DT,that:DT
of,PRE,of:PRE android:NM object:N
argument,NM,split:V argument:NM list:N
default,NM,default:NM injection:NM engine:N
matrix,N,bind:NM matrix:N
line,NM,line:NM index:NM mask:NM len:N
last,DT,last:DT segment:NM index:N
len,N,str:N array:NM len:N
request,NM,request:NM bytes:NPL
file,N,copy:V this:DT file:N
light,N,a:DT light:N
id,N,get:V next:DT comment:NM id:N
state,N,connection:NM state:N
touch,NM,notify:V touch:NM down:N
s3,PRE,singularity:PRE s3:PRE uploader:NM content:NM headers:NPL
frame,N,dump:V frame:N buffer:NM formats:NPL
env,NM,env:NM vars:NPL slave:NM info:NM display:NM name:N
used,V,last:DT used:V
an,NM,an:NM size:N
and,N,and:N
two,NM,two:NM factor:NM response:N
only,VM,keep:V readability:NM only:VM on:P descendants:NPL
fence,N,fence:N
file,NM,max:NM file:NM open:N
set,V,set:V invert:N
last,DT,after:P last:DT
diamond,N,as:P diamond:N
buffer,N,patch:NM coord:NM buffer:N
response,N,publish:NM response:N
buffer,PRE,gui:PRE buffer:PRE set:V time:N for:P each:DT line:N
all,DT,all:DT methods:NPL
point,N,get:V plane:NM point:N
get,V,get:V a:N 1:D
and,CJ,cur:N and:CJ generator:N
out,NM,out:NM prel:N
off,P,force:V fog:NM off:P
name,N,plugin:NM name:N for:P upgrade:N
base,NM,find:V hashable:NM base:NM type:N
expr,N,if:NM else:NM width:NM expr:N
to,P,to:P types:NPL
delete,V,s:NM set:V find:V and:CJ delete:V
hash,N,value:NM hash:N
stmt,NM,stmt:NM close:V
num,NM,num:NM states:NPL
image,NM,gimp:PRE image:NM file:N get:V thumbnail:N
filter,N,the:DT new:NM filter:N
commas,N,skip:V whitespace:NM and:CJ commas:N
all,DT,all:DT invocation:NM matchers:NPL
listener,N,hdr:NM listener:N
render,V,render:V result:NM exr:NM file:NM end:N
matcher,N,f:N matcher:N
crop,NM,crop:NM node:N
work,N,max:NM work:N group:NM size:N
index,N,git:PRE index:N update:V all:DT
level,N,base:NM level:N 1:D
only,VM,restore:V degs:NPL only:VM
handshake,NM,handshake:NM mode:N
no,DT,no:DT emerge:V
out,NM,md5:NM out:NM len:N
cols,NPL,all:DT cols:NPL indexed:V
piecewise,PRE,piecewise:PRE constant:NM abcd:NM variance:N
that,DT,that:DT expr:N
codes,NPL,codes:NPL
y,N,new:NM y:N
inverse,NM,inverse:NM dynamics:NM example:N
aggregate,V,to:P aggregate:V
cmd,N,cmd:N str:N
embedded,NM,embedded:NM version:N
1,D,cost:N 1:D
latency,N,on:P ping:NM reply:NM latency:N
regex,N,label:NM regex:N
code,NM,gui:PRE mouse:PRE event:NM code:NM 2:P key:N
copy,N,rename:V object:N no:DT copy:N
on,P,on:P factory:N
convolution,N,keras:PRE convolution:N 2d:NM
c,PRE,c:PRE d3d9:NM render:NM target:N
training,NM,training:NM examples:NPL
security,NM,network:NM security:NM policy:N
param,NM,deconvolution:NM 3d:NM param:NM initializer:N
rtm,NM,rtm:NM session:N
log,N,bm:NM log:N
level,N,processing:NM level:N
timestamp,NM,utc:NM timestamp:NM ms:NPL
to,P,state:N to:P grammar:NM region:NM map:N
info,NM,area:NM info:NM dialog:NM t:N
guile,N,weechat:PRE guile:N api:NM string:NM input:N for:P buffer:N
o9,NM,pfcp:PRE up:NM function:N features:V o9:NM flags:NPL
return,V,return:V path:N
off,P,alias:NM off:P
select,V,select:V in:P word:N
server,N,from:P server:N
sv,N,data:NM sv:N 4:D
host,NM,check:V for:P host:NM flapping:N
field,NM,out:NM field:NM collation:N
to,P,git:PRE fs:PRE path:N to:P dir:N
to,P,print:V features:NM up:VM to:P
action,NM,script:NM event:NM action:NM factories:NPL
target,N,target:N chars:NPL
word,N,select:V in:P word:N
value,N,next:DT page:NM value:N
run,V,run:V methods:NPL
v,N,v:N 110:D
language,NM,language:NM to:P rules:NM files:NPL
num,NM,num:NM vertices:NPL per:P primitive:N
pnm,PRE,pnm:PRE load:V raw:NM pfm:N
lop,V,learned:NM lop:V expert:NM weights:NPL 2:P d:N
set,N,last:DT set:N
pair,N,flags:NM classifier:NM pair:N
checkout,V,checkout:V create:V the:DT new:N
dispatch,NM,dispatch:NM paint:NM mask:N
effective,NM,effective:NM style:N
dialog,V,dialog:V info:N update:V
load,V,ico:PRE load:V layer:N
block,NM,block:NM contact:N 16:D x:P 16:D
dash,NM,m:PRE line:NM dash:NM offset:N
clause,NM,clause:NM matrix:N
as,P,index:V as:P child:N
evaluator,N,mention:NM detection:NM evaluator:N
mismatch,NM,arg:N mismatch:NM stubbings:NPL
emitter,N,tuple:NM lvalue:NM emitter:N
metadata,N,next:DT metadata:N
identity,NM,optimize:V identity:NM cast:NM composition:N
no,DT,no:DT replay:V
validate,V,validate:V on:P
last,DT,last:DT entry:NM batch:N
src,NM,src:NM 1:D
run,V,run:V dist:NM cmd:NM prop:N
obj,NM,d:NM obj:NM points:NPL
is,V,on:P thread:N is:V alive:NM
can,V,clang:PRE can:V ty:N
is,V,is:V friend:N
document,N,choose:V document:N
matches,NPL,bt3zip:NM match:NM finder:N get:V matches:NPL
factory,N,session:NM factory:N
t,N,command:NM t:N
ssl,N,ssl:N creds:NPL
show,NM,action:NM view:NM show:NM master:NM pages:NPL
up,VM,up:VM
is,V,is:V conscrypt:N preferred:V
scan,NM,probe:NM side:NM scan:NM 2:P hj:N
cas,N,max:NM intermediate:NM cas:N
offset,N,equals:NM offset:N
2,D,inv:NM flight:NM k:NM 2:D
2,D,endpoint:N 2:D
physics,NPL,physics:NPL client:NM example:N
once,VM,has:V run:V at:VM least:VM once:VM
on,P,on:P group:NM call:NM key:N sent:V
vector,N,field:NM offset:NM vector:N
close,V,on:P connection:NM close:V
unicode,PRE,add:V unicode:PRE script:NM codes:NPL to:P names:NPL
view,PRE,has:V view:PRE relative:NM texture:NM coordinate:NM generation:N
matrix,NM,r:PRE igraph:PRE matrix:NM to:P sexp:N
0,D,conv:N 0:D
before,P,add:V before:P forward:N
cuts,NPL,i:PRE graph:PRE all:DT st:NM min:NM cuts:NPL
after,P,after:P first:NM batch:N
4,D,m:PRE sbox:N 4:D
merge,V,merge:V driver:NM name:N for:P path:N
and,CJ,dp:PRE if:CJ create:V and:CJ open:N
m,N,gl:PRE m:N 3:D inv:N
pos,N,neighbor:NM pos:N
2,D,edge:NM color:N 2:D
s3fs,PRE,s3fs:PRE utimens:NPL
text,NM,replace:NM text:NM context:N
non,NM,crf:PRE non:NM linear:NM log:NM conditional:NM objective:NM function:N
changed,N,is:V dependency:N changed:N
cache,NM,alternative:NM cache:NM name:N
type,NM,generic:NM type:NM extractor:N
b,N,b:N only:VM
mask,N,extra:NM inhabitants:NM mask:N
type,NM,type:NM 2:D
next,DT,next:DT giphy:NM search:NM offset:N
only,VM,as:P read:NM only:VM
name,N,get:V id:N for:P name:N
b,N,is:V a:N ge:N zero:NM and:CJ a:N lt:NM b:N
warning,NM,warning:NM failure:NM exception:N
get,V,layer:NM get:V composite:NM mode:NM invoker:N
to,P,to:P filename:N
array,N,as:P array:N
len,NM,rcp:NM len:NM 2:D
on,P,on:P disk:N
threshold,N,past:P threshold:N
remoting,NM,remoting:NM diagnostics:NPL
message,N,last:DT message:N
32,D,silk:NM bw:NM expander:N 32:D
r,N,r:N
no,DT,ovsdb:PRE atom:PRE string:N create:V no:DT copy:V
indexed,V,make:V no:DT n:N indexed:V
field,N,field:N 4:D
m,PRE,m:PRE to:P copy:N
error,NM,call:NM error:NM extensions:NPL
connected,N,vertex:N 0:D 2:D connected:N
proj,N,obj:NM proj:N
replace,V,a:DT replace:V
curve,NM,f:N curve:NM found:V
ip,N,match:NM by:P ip:N
each,DT,submodule:PRE load:V each:DT
space,NM,all:DT space:NM before:P
vid,NM,vid:NM 1:D
filter,N,gui:PRE line:PRE has:V tag:NM no:DT filter:N
val,NM,val:NM size:N
in,N,in:N
whole,NM,whole:NM regexp:N
inlinables,NPL,inlinables:NPL
size,N,max:NM buffer:NM size:N
myid,NM,r:PRE igraph:PRE add:V myid:NM to:P env:N
joint,NM,sz:NM joint:NM ranges:NPL
data,NM,data:NM or:CJ diff:N
generate,V,generate:V rule:NM bypass:NM transitions:NPL
16,D,block:NM contact:N 16:D x:P 16:D
canonical,NM,set:V canonical:NM mention:NM begin:N
requests,NPL,under:P provisioned:V requests:NPL
push,V,supports:V sort:V push:V down:P
new,NM,new:NM y:N
float,N,float:N
waiting,V,still:VM waiting:V
codes,NPL,add:V unicode:PRE script:NM codes:NPL to:P names:NPL
gui,PRE,gui:PRE input:PRE search:NM next:DT
channel,N,token:NM property:NM ref:NM channel:N
1,D,v:N 1:D
blocked,NM,default:NM blocked:NM item:NM comparator:N
reference,N,m:N reference:N
meta,NM,reference:NM index:NM meta:NM datas:NPL
convert,V,convert:V to:P php:NM namespace:N
linear,NM,resize:V linear:NM open:NM cv:N
config,NM,alt:N and:CJ context:NM config:NM equality:NM comparator:N
ten,NM,ten:NM 00:D
b,N,thread:NM b:N to:P a:N
proto,N,file:NM descriptor:NM proto:N
radio,N,paint:NM radio:N
12,D,distance:N 12:D
text,N,render:V text:N
set,NM,set:NM by:P
behind,P,behind:P size:N
to,P,to:P ack:N
type,N,new:NM sil:NM type:N
cookie,NM,cookie:NM jar:N
under,P,under:P provisioned:V requests:NPL
mx,NM,mx:NM bean:N
last,DT,last:DT batch:NM read:V
mask,N,have:V mask:N
compute,NM,pybullet:PRE compute:NM view:NM matrix:N
mark,NM,error:NM mark:NM type:N
if,CJ,sqlite3:PRE expr:NM if:CJ true:NM
too,VM,short:NM too:VM
property,NM,token:NM property:NM ref:N
git,PRE,git:PRE off:NM map:N size:N
cs,N,cs:N 2:D
segment,NM,last:DT segment:NM index:N
wire,NM,gimp:PRE wire:NM compare:V
rel,NM,rel:NM cam:NM up:P
output,N,ccv:PRE cnnp:PRE batch:NM norm:N add:V to:P output:N
by,P,shift:V by:P
from,P,from:P id:N
by,P,group:NM by:P context:N
query,NM,on:P query:NM current:NM thread:N
info,N,m:PRE last:DT assertion:NM info:N
write,NM,last:DT write:NM index:N
spell,V,spell:V speller:PRE add:V dicts:NPL to:P hash:N
min,NM,min:NM fresh:NM seconds:NPL
remote,NM,remote:NM cluster:NM names:NPL
profile,N,proof:NM profile:N
out,N,progress:NM out:N
signal,NM,prev:NM signal:NM bar:NM count:N
annotations,NPL,class:NM annotations:NPL
opaque,NM,out:NM opaque:NM data:N
table,NM,table:NM 2:D id:N
vec,N,tmp:N vec:N
max,NM,tx1523:PRE to:P max:NM packets:NPL
2,P,file:NM 2:P page:NM app:N
1,D,endpoint:N 1:D
nonce,NM,nonce:NM length:N
2,D,httperf:NM 2:D
record,N,save:V mail:NM record:N
pos,N,a:DT pos:N
mocking,NM,original:NM mocking:NM details:NPL
watch,NM,put:V watch:NM request:N
next,DT,next:DT protos:NPL
down,P,is:V supports:V limit:NM push:V down:P
size,N,git:PRE off:NM map:N size:N
status,N,key:NM status:N
row,N,next:DT row:N key:NM batch:N
parameter,NM,parameter:NM assignment:N
next,DT,next:DT row:N key:NM batch:N
room,NM,all:DT room:NM names:NPL
get,V,get:V protocol:NM method:N
displayed,N,some:DT data:NM not:VM displayed:N
new,NM,in:NM flow:NM new:NM m:N
buff,N,out:NM buff:N
forward,N,do:V forward:N
comp,NM,temp:NM comp:NM mask:N
matcher,NM,matcher:NM builder:N
by,P,num:N by:P chans:NPL
point,N,nearest:NM point:N
helper,N,process:V helper:N
number,N,noti:NM flags:NM number:N
all,DT,gui:PRE line:NM mixed:NM free:V all:DT
new,NM,new:NM field:NM type:N
id,N,call:NM id:N
context,N,replace:NM text:NM context:N
id,N,last:DT stream:NM id:N size:N
imb,PRE,imb:PRE stereo3d:NM read:V interlace:N
no,DT,no:DT src:NM loc:N
gimp,PRE,gimp:PRE canvas:NM rectangle:N set:V property:N
loc,N,no:DT src:NM loc:N
layer,NM,layer:NM parameter:N
10,D,wc:N 10:D
job,N,parse:NM job:N private:NM
info,N,sibling:NM info:N
faces,NM,num:NM faces:NM to:P draw:N
im,N,im:N 2:D col:N
role,NM,group:NM role:NM attribute:N
color,NM,color:NM map:N
proxy,N,for:P socks4:NM proxy:N
dump,V,dump:V frame:N buffer:NM formats:NPL
slot,NM,subroutine:NM slot:NM name:N
arg,N,arg:N 31:D
manifest,NM,manifest:NM file:NM prefix:N
is,V,is:V 1:D x:P 1:D
method,NM,operator:NM method:NM decls:NPL
slave,NM,tcp:NM slave:NM agent:NM listener:NM lock:N
file,N,cache:NM file:N
up,NM,pfcp:PRE up:NM function:N features:V o9:NM flags:NPL
static,NM,static:NM rect:N
current,NM,current:NM scene:NM node:N
domain,N,out:NM of:P domain:N
metadata,NM,table:NM metadata:NM v:NM 4:D
done,N,only:VM done:N
named,NM,named:NM writeables:NPL
unsupported,NM,d3d11:PRE unsupported:NM gpu:NM program:N
tag,NM,gui:PRE line:PRE has:V tag:NM no:DT filter:N
b,N,l:PRE b:N layer:N
last,DT,last:DT range:N
2,P,probe:NM side:NM scan:NM 2:P hj:N
in,P,friend:N in:P close:V
every,DT,spaces:NPL every:DT
left,NM,left:NM sisters:NM buffer:N
classes,NPL,proto:NM classes:NPL
mainwindow,NM,plugin:PRE if:CJ mainwindow:NM update:NM toolbars:NPL
at,NM,c:PRE at:NM grayscale:N
last,DT,last:DT n:N
coefficient,N,ambient:NM coefficient:N
network,V,network:V pass:NM socks5:NM proxy:N
adapter,N,regression:NM 2d:NM adapter:N
equals,NPL,after:P equals:NPL
clique,NM,w:NM clique:NM 1:D
match,NM,match:NM by:P ip:N
build,NM,build:NM context:N
file,NM,file:NM no:N
unload,V,weechat:PRE js:PRE unload:V all:DT
mesh,N,tessellate:PRE to:P mesh:N
ko,PRE,ko:PRE section:NM end:N private:NM
m,PRE,m:PRE shadow:NM receiver:NM pass:N
in,N,as:P in:N
method,N,set:V protocol:NM method:N
s3fs,PRE,read:V s3fs:PRE passwd:NM file:N
read,V,read:V text:NM file:N
x,N,x:N dnd:PRE type:NM list:N
command,NM,command:NM t:N
num,NM,num:NM faces:NM to:P draw:N
ds,PRE,ds:PRE 2:D flags:NPL
add,V,add:V unicode:PRE script:NM codes:NPL to:P names:NPL
remove,NM,ko:PRE path:NM point:NM remove:NM command:N private:NM
implicit,NM,implicit:NM group:NM key:N
q,NM,q:NM 0:D h:N
1,D,prefix:N x:N 1:D
input,NM,max:NM input:NM size:N
params,NPL,run:V before:P params:NPL
global,NM,global:NM scope:N
arg,N,pai:NM arg:N
finished,V,all:DT streams:NPL finished:V
6,D,string:N conv:V base64:N 6:D x:P 4:D to:P 8:D x:P 3:D
partition,NM,c:NM partition:NM 2:D
writeable,N,check:V writeable:N
len,N,spline:NM max:NM len:N
thread,NM,thread:NM array:NM size:N
to,P,to:P height:N
4,D,sqlite3:PRE put:V 4:D byte:N
else,NM,else:NM info:N
1,D,m:PRE contact:NM motion:N 1:D
root,N,current:NM root:N
to,P,r:PRE igraph:PRE add:V myid:NM to:P env:N
current,NM,current:NM open:NM shards:NPL
5,N,v:N 5:N
fingerprint,NM,fingerprint:NM dialog:N
cache,N,disk:NM lru:NM cache:N
d,NM,d:NM obj:NM points:NPL
recorded,NM,recorded:NM matchers:NM size:N
1,D,set:V custom:NM uniform:NM 1:D f:NM
y,NM,y:NM in:N
pixel,NM,frame:NM pixel:NM coords:NPL
if,CJ,replace:V if:CJ exists:V
a,DT,a:DT time:N
from,P,load:V from:P lib:NM dir:N
utf8,NM,utf8:NM only:VM
err,NM,err:NM ret:N
camera,N,adjust:V to:P camera:N
status,N,do:V install:NM status:N
look,NM,look:NM at:P
