TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN
bool,btn_down_for_dig,ATTRIBUTE,C++,cloned_repositories/freeminer.git/src/client/game.cpp,672,btn down for dig,NM VM P N
ALenum,warn_if_error,FUNCTION,C++,cloned_repositories/freeminer.git/src/client/sound_openal.cpp,96,warn if error,V CJ N
ELoginRegister,allow_login_or_register,ATTRIBUTE,C,cloned_repositories/freeminer.git/src/gui/guiMainMenu.h,57,allow login or register,V V CJ V
bool,save_before_unloading,DECLARATION,C++,cloned_repositories/freeminer.git/src/map.cpp,380,save before unloading,V P V
MapNode,n_water_or_ice,DECLARATION,C++,cloned_repositories/freeminer.git/src/mapgen/cavegen.cpp,589,n water or ice,N N CJ N
bool,only_in_ground,ATTRIBUTE,C,cloned_repositories/freeminer.git/src/mapgen/dungeongen.h,59,only in ground,VM P N
bool,has_after_destruct,ATTRIBUTE,C,cloned_repositories/freeminer.git/src/nodedef.h,422,has after destruct,V P N
int,l_get_node_or_nil,FUNCTION,C++,cloned_repositories/freeminer.git/src/script/lua_api/l_env.cpp,396,l get node or nil,PRE V N CJ NM
SEXP,when,DECLARATION,C,cloned_repositories/git2r.git/src/git2r_revwalk.c,428,when,CJ
int*,checkout_action_wd_only,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/checkout.c,367,checkout action wd only,V NM N VM
int*,validate_tree_and_parents,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/commit.c,89,validate tree and parents,V N CJ NPL
bool,only_if_existing,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/config.c,673,only if existing,VM CJ V
git_diff_file,as_file,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff_file.h,50,as file,P N
int,git_diff_commit_as_email,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/diff.c,211,git diff commit as email,PRE PRE N P N
int,hash_and_save,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/indexer.c,590,hash and save,V CJ V
int*,merge_driver_name_for_path,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/merge_driver.c,370,merge driver name for path,V NM N P N
bool,use_default_if_empty,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/remote.c,3007,use default if empty,V N CJ NM
int*,git_repository_head_detached_for_worktree,FUNCTION,C,cloned_repositories/git2r.git/src/libgit2/src/libgit2/repository.c,2672,git repository head detached for work tree,PRE PRE N V P NM N
bool,close_fd_when_done,PARAMETER,C,cloned_repositories/git2r.git/src/libgit2/src/util/futils.c,895,close fd when done,V N VM V
Function,asFunction,ATTRIBUTE,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/escape/Escaper.java,88,as Function,P N
V,asV,DECLARATION,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java,601,as V,P N
CountDownLatch,whenClosed,ATTRIBUTE,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/ClosingFuture.java,2178,when Closed,VM V
long,nowMicros,PARAMETER,Java,cloned_repositories/guava.git/android/guava/src/com/google/common/util/concurrent/RateLimiter.java,366,now Micros,VM NPL
Entry,onlyEntry,DECLARATION,Java,cloned_repositories/guava.git/guava/src/com/google/common/collect/ImmutableSortedMap.java,735,only Entry,VM N
Writer,asWriter,FUNCTION,Java,cloned_repositories/guava.git/guava/src/com/google/common/io/CharStreams.java,343,as Writer,P N
long,asLong,DECLARATION,Java,cloned_repositories/guava.git/guava/src/com/google/common/primitives/UnsignedInts.java,386,as Long,P N
List,asStripes,DECLARATION,Java,cloned_repositories/guava.git/guava/src/com/google/common/util/concurrent/Striped.java,183,as Stripes,P NPL
String,asString,DECLARATION,Java,cloned_repositories/immutables.git/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java,78,as String,P N
Context,infor,FUNCTION,Java,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TemplateWriter.java,578,in for,P N
Expression,asTransformGeneratorTransform,FUNCTION,Java,cloned_repositories/immutables.git/generator-processor/src/org/immutables/generator/processor/TypeResolver.java,357,as Transform Generator Transform,P NM NM N
Object,and,DECLARATION,Java,cloned_repositories/immutables.git/generator/src/org/immutables/generator/Builtins.java,131,and,CJ
ClassToInstanceMap,afterRound,ATTRIBUTE,Java,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,63,after Round,P N
ClassToInstanceMap,afterProcessing,ATTRIBUTE,Java,cloned_repositories/immutables.git/generator/src/org/immutables/generator/EnvironmentState.java,62,after Processing,P V
Object,asDiamond,DECLARATION,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java,50,as Diamond,P N
boolean,ifPresent,PARAMETER,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/AnnotationInjections.java,202,if Present,CJ NM
AnnotationMirror,asCaching,FUNCTION,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/CachingElements.java,87,as Caching,P V
DeclaringPackage,forPackage,FUNCTION,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Proto.java,93,for Package,NM N
Reporter,forAnnotation,FUNCTION,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/Reporter.java,45,for Annotation,NM N
boolean,forAttribute,ATTRIBUTE,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,83,for Attribute,NM N
char,open_if_empty,DECLARATION,C,cloned_repositories/libxo.git/libxo/libxo.c,8004,open if empty,V CJ NM
int,as_warning,PARAMETER,C,cloned_repositories/libxo.git/libxo/libxo.c,8331,as warning,P N
unsigned,encode_only,PARAMETER,C,cloned_repositories/libxo.git/libxo/libxo.c,3809,encode only,V VM
char,text_only,PARAMETER,C,cloned_repositories/libxo.git/libxo/xo.h,667,text only,N VM
T,value_or,FUNCTION,C++,cloned_repositories/meta.git/include/meta/util/optional.tcc,153,value or,N CJ
bool,replace_if_exists,FUNCTION,C++,cloned_repositories/meta.git/src/analyzers/filters/porter2_stemmer.cpp,49,replace if exists,V CJ V
auto,after1,DECLARATION,C++,cloned_repositories/meta.git/src/analyzers/filters/ptb_normalizer.cpp,163,after 1,P D
bool,even_split,PARAMETER,C++,cloned_repositories/meta.git/src/classify/classifier/classifier.cpp,30,even split,NM N
auto,even,DECLARATION,C++,cloned_repositories/meta.git/src/classify/tools/classify.cpp,96,even,NM
double,term_and_class,FUNCTION,C++,cloned_repositories/meta.git/src/features/feature_selector.cpp,236,term and class,N CJ N
void,throw_if_error,FUNCTION,C++,cloned_repositories/meta.git/src/io/xzstream.cpp,24,throw if error,V CJ N
double,total_oov_only,DECLARATION,C++,cloned_repositories/meta.git/src/lm/tools/query_lm.cpp,21,total oov only,NM N VM
linear_model,for_avg,DECLARATION,C++,cloned_repositories/meta.git/src/parser/sr_parser.cpp,155,for avg,P N
int,short_too,PARAMETER,C,cloned_repositories/mgba.git/include/mgba-util/platform/windows/getopt.h,246,short too,NM VM
void,inhow,ATTRIBUTE,C,cloned_repositories/mgba.git/src/third-party/zlib/contrib/blast/blast.c,44,in how,V VM
void,outhow,PARAMETER,C,cloned_repositories/mgba.git/src/third-party/zlib/contrib/blast/blast.h,45,out how,VM VM
void,check_for_host_flapping,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/flapping.c,118,check for host flapping,V P N V
int*,is_valid_escalation_for_service_notification,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/notifications.c,1045,is valid escalation for service notification,V NM N P NM N
objectlist*,xodtemplate_expand_hostgroups_and_hosts,FUNCTION,C,cloned_repositories/naemon-core.git/src/naemon/xodtemplate.c,1718,xodtemplate expand host groups and hosts,PRE V NM NPL CJ NPL
Instant,now,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/archive/Archiver.java,219,now,VM
String,providedPassword,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MUCRoom.java,994,provided Password,V N
void,afterJoinSendHistory,FUNCTION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/FMUCHandler.java,1356,after Join Send History,P V V N
Occupant,that,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/muc/spi/OccupantManager.java,852,that,DT
boolean,onlyLocal,PARAMETER,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/RoutingTable.java,359,only Local,VM N
int,soTimeout,DECLARATION,Java,cloned_repositories/Openfire.git/xmppserver/src/main/java/org/jivesoftware/openfire/session/LocalOutgoingServerSession.java,311,s o Timeout,NM NM N
PMIB_IF_TABLE2,ifTable,PARAMETER,C,cloned_repositories/ovs.git/datapath-windows/ovsext/IpHelper.c,114,if Table,NM N
int,dp_ifindex,ATTRIBUTE,C,cloned_repositories/ovs.git/include/linux/openvswitch.h,56,dp if index,PRE NM N
bool,read_only,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/dpctl.h,37,read only,V VM
atomic_bool,wait_for_reload,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/dpif-netdev-private-thread.h,174,wait for reload,V P N
uint64_t,nfrag_too_small,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/dpif-provider.h,94,n frag too small,NM N VM NM
int,dpif_create_and_open,FUNCTION,C,cloned_repositories/ovs.git/lib/dpif.c,418,dp if create and open,PRE CJ V CJ V
void,if_notifier_wait,FUNCTION,C,cloned_repositories/ovs.git/lib/if-notifier-bsd.c,70,if notifier wait,NM N V
int,h_ifindex,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/lldp/lldpd-structs.h,181,h if index,PRE NM N
int,c_receiveonly,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/lldp/lldpd-structs.h,123,c receive only,PRE V VM
ovsthread_once,once,DECLARATION,C,cloned_repositories/ovs.git/lib/netdev-dpdk.c,4767,once,VM
int,ifindex,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/netdev-offload.c,502,if index,NM N
ovs_be16,src_as,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/netflow.h,72,src as,N P
char,if_name,ATTRIBUTE,C,cloned_repositories/ovs.git/lib/rtbsd.h,34,if name,NM N
ifinfomsg,ifinfo,DECLARATION,C,cloned_repositories/ovs.git/lib/rtnetlink.c,113,if info,NM N
bool,sset_find_and_delete,FUNCTION,C,cloned_repositories/ovs.git/lib/sset.c,236,s set find and delete,NM N V CJ V
svec,b_only,PARAMETER,C,cloned_repositories/ovs.git/lib/svec.h,54,b only,N VM
udpif,udpif,ATTRIBUTE,C,cloned_repositories/ovs.git/ofproto/ofproto-dpif-upcall.c,69,udpif,N
ovs_list,change_set_for_tables,ATTRIBUTE,C,cloned_repositories/ovs.git/ovsdb/monitor.c,139,change set for tables,NM N P NPL
DCArrayParameter*,as_array_parameter,FUNCTION,C++,cloned_repositories/panda3d.git/direct/src/dcparser/dcArrayParameter.cxx,98,as array parameter,P NM N
DCField*,as_field,FUNCTION,C++,cloned_repositories/panda3d.git/direct/src/dcparser/dcField.cxx,93,as field,P N
DCMolecularField*,as_molecular_field,FUNCTION,C++,cloned_repositories/panda3d.git/direct/src/dcparser/dcField.cxx,120,as molecular field,P NM N
DCSimpleParameter*,as_simple_parameter,FUNCTION,C++,cloned_repositories/panda3d.git/direct/src/dcparser/dcParameter.cxx,71,as simple parameter,P NM N
void*,as_pointer,FUNCTION,C++,cloned_repositories/panda3d.git/dtool/src/cppparser/cppExpression.cxx,124,as pointer,P N
int,kDiySignificandSize,ATTRIBUTE,C++,cloned_repositories/panda3d.git/dtool/src/dtoolbase/pdtoa.cxx,144,k Diy Significand Size,NM NM NM N
int,kDpSignificandSize,ATTRIBUTE,C++,cloned_repositories/panda3d.git/dtool/src/dtoolbase/pdtoa.cxx,145,k Dp Significand Size,NM NM NM N
uint64_t,kDpSignificandMask,ATTRIBUTE,C++,cloned_repositories/panda3d.git/dtool/src/dtoolbase/pdtoa.cxx,149,k Dp Significand Mask,NM NM NM N
string,server_and_port,DECLARATION,C++,cloned_repositories/panda3d.git/panda/src/downloader/httpClient.cxx,934,server and port,N CJ N
string,username_only,DECLARATION,C++,cloned_repositories/panda3d.git/panda/src/downloader/httpDigestAuthorization.cxx,136,username only,N VM
void,set_server_and_port,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/downloader/urlSpec.cxx,465,set server and port,V N CJ N
ShaderContext*,prepare_now,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/gobj/shader.cxx,3828,prepare now,V VM
BoundingBox*,as_bounding_box,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/mathutil/boundingVolume.cxx,126,as bounding box,P NM N
PandaNode*,dupe_for_flatten,FUNCTION,C++,cloned_repositories/panda3d.git/panda/src/pgraph/pandaNode.cxx,177,dupe for flatten,V P V
int,flag_true_if_should_convert,PARAMETER,C,cloned_repositories/panda3d.git/panda/src/pnmimagetypes/stb_image.h,434,flag true if should convert,N NM CJ V V
double,as_of,PARAMETER,C,cloned_repositories/panda3d.git/panda/src/pstatclient/pStatCollector.h,89,as of,P P
int,_before_major,ATTRIBUTE,C++,cloned_repositories/panda3d.git/panda/src/putil/bamWriter.cxx,31,before major,P N
void*,scan_for_sliders,FUNCTION,C++,cloned_repositories/panda3d.git/pandatool/src/eggcharbase/eggCharacterCollection.cxx,340,scan for sliders,V P NPL
igraph_bool_t,only_indices,PARAMETER,C,cloned_repositories/rigraph.git/src/include/igraph_structural.h,75,only indices,VM NPL
SEXP*,R_igraph_0orvector_bool_to_SEXP,FUNCTION,C,cloned_repositories/rigraph.git/src/rinterface_extra.c,2624,R igraph 0 or vector bool to SEXP,PRE PRE D CJ NM N P N
void,restore_degs_only,FUNCTION,C++,cloned_repositories/rigraph.git/src/vendor/cigraph/src/games/degree_sequence_vl/gengraph_graph_molloy_optimized.cpp,214,restore degs only,V NPL VM
uint32_t,keep_when_false,PARAMETER,C,cloned_repositories/rigraph.git/src/vendor/cigraph/src/graph/caching.c,149,keep when false,V VM NM
uint32_t,keep_when_true,PARAMETER,C,cloned_repositories/rigraph.git/src/vendor/cigraph/src/graph/caching.h,47,keep when true,V VM NM
int,num_ascnt,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/misc/relax4.h,71,num ascnt,NM N
int,as_binary,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,244,as binary,P N
int,as_within,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,240,as within,P P
int,as_in,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,242,as in,P P
bool,s3fs_strtoofft,FUNCTION,C++,cloned_repositories/s3fs-fuse.git/src/string_util.cpp,89,s3fs str to offt,PRE N P N
List,asSortedEntryList,FUNCTION,Java,cloned_repositories/Singularity.git/SingularityBase/src/main/java/com/hubspot/mesos/CounterMap.java,86,as Sorted Entry List,P NM NM N
String,pathNameforLogs,PARAMETER,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/data/CuratorAsyncManager.java,212,path Name for Logs,NM N P NPL
boolean,tooOld,DECLARATION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityCleaner.java,189,too Old,VM NM
boolean,tooManyShufflingTasks,DECLARATION,Java,cloned_repositories/Singularity.git/SingularityService/src/main/java/com/hubspot/singularity/scheduler/SingularityTaskShuffler.java,180,too Many Shuffling Tasks,VM NM V NPL
boolean,onlyDone,ATTRIBUTE,Java,cloned_repositories/Smack.git/smack-experimental/src/main/java/org/jivesoftware/smackx/iot/data/filter/IoTFieldsExtensionFilter.java,27,only Done,VM NM
Date,since,ATTRIBUTE,Java,cloned_repositories/Smack.git/smack-extensions/src/main/java/org/jivesoftware/smackx/last_interaction/element/IdleElement.java,35,since,VM
boolean,stillWaiting,DECLARATION,Java,cloned_repositories/Smack.git/smack-im/src/main/java/org/jivesoftware/smack/roster/RosterUtil.java,72,still Waiting,VM V
AfterXStanzas,afterXStanzas,ATTRIBUTE,Java,cloned_repositories/Smack.git/smack-streammanagement/src/main/java/org/jivesoftware/smack/sm/predicates/ForMatchingPredicateOrAfterXStanzas.java,25,after X Stanzas,P D NPL
void,afterFiltersClosed,FUNCTION,Java,cloned_repositories/Smack.git/smack-tcp/src/main/java/org/jivesoftware/smack/tcp/XmppTcpTransportModule.java,642,after Filters Closed,P NPL V
JComboBox,_lookandfeel,ATTRIBUTE,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,72,look and feel,NM CJ NM
JLabel,_lookandfeelLabel,ATTRIBUTE,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,71,look and feel Label,NM CJ NM N
JLabel,getLookandfeelLabel,FUNCTION,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java,531,get Look and feel Label,V NM CJ NM N
NativeLong,til_or_since,ATTRIBUTE,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/idle/linux/LinuxIdleTime.java,31,til or since,P CJ P
JPanel,treeandInfo,ATTRIBUTE,Java,cloned_repositories/Spark.git/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java,58,tree and Info,N CJ N
int,onlyuser,ATTRIBUTE,C,cloned_repositories/toggldesktop.git/third_party/openssl/include/openssl/x509v3.h,299,only user,VM N
bool,is_even,PARAMETER,C++,cloned_repositories/toggldesktop.git/third_party/poco/Foundation/src/bignum-dtoa.cc,66,is even,V NM
uint64_t,significand,ATTRIBUTE,C++,cloned_repositories/toggldesktop.git/third_party/poco/Foundation/src/cached-powers.cc,39,significand,N
size_t,wherelen,PARAMETER,C,cloned_repositories/toggldesktop.git/third_party/poco/openssl/build/include/openssl/bio.h,633,where len,NM N
int,waiting_for_dht_connection,DECLARATION,C,cloned_repositories/toxcore.git/other/bootstrap_daemon/src/tox-bootstrapd.c,314,waiting for dht connection,V P NM N
uint64_t,badonly,DECLARATION,C,cloned_repositories/toxcore.git/toxcore/DHT.c,1556,bad only,NM VM
timeval,tv_now,DECLARATION,C,cloned_repositories/weechat.git/src/core/hook/wee-hook-timer.c,229,t v now,NM N VM
int,time_for_each_line,ATTRIBUTE,C,cloned_repositories/weechat.git/src/gui/gui-buffer.h,129,time for each line,N P DT N
char,plugin_name_for_upgrade,ATTRIBUTE,C,cloned_repositories/weechat.git/src/gui/gui-buffer.h,84,plugin name for upgrade,NM N P N
int,text_search_where,ATTRIBUTE,C,cloned_repositories/weechat.git/src/gui/gui-buffer.h,196,text search where,N V VM
int,lines_after,ATTRIBUTE,C,cloned_repositories/weechat.git/src/gui/gui-window.h,96,lines after,NPL P
char,buffer_as_string,ATTRIBUTE,C,cloned_repositories/weechat.git/src/plugins/irc/irc-channel.h,89,buffer as string,N P N
time_t,time_now,DECLARATION,C,cloned_repositories/weechat.git/src/plugins/irc/irc-command.c,2877,time now,N VM
char,message_after_mod,ATTRIBUTE,C,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,184,message after mod,N P N
char,message_before_mod,ATTRIBUTE,C,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,183,message before mod,V P N
int,utf8only,ATTRIBUTE,C,cloned_repositories/weechat.git/src/plugins/irc/irc-server.h,258,utf8 only,N VM
char,c_where,DECLARATION,C,cloned_repositories/weechat.git/src/plugins/ruby/weechat-ruby-api.c,726,c where,PRE VM
int*,generate_key_or_iv,FUNCTION,C,cloned_repositories/wireshark.git/epan/dissectors/asn1/pkcs12/packet-pkcs12-template.c,79,generate key or iv,V N CJ N
int*,dissect_acdr_ip_or_other,FUNCTION,C,cloned_repositories/wireshark.git/epan/dissectors/packet-acdr.c,1265,dissect acdr ip or other,V NM N CJ N
gboolean,header_only,PARAMETER,C,cloned_repositories/wireshark.git/epan/dissectors/packet-dnp.c,1687,header only,N VM
guint8,value_a_and_front_reserved,DECLARATION,C,cloned_repositories/wireshark.git/epan/dissectors/packet-kink.c,199,value a and front reserved,NM N CJ N V
gint,how,PARAMETER,C,cloned_repositories/wireshark.git/plugins/epan/mate/mate_util.c,36,how,VM
int,num_of_after_release_pdus,ATTRIBUTE,C,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,308,num of after release pdus,N P P V NPL
gboolean,after_release,ATTRIBUTE,C,cloned_repositories/wireshark.git/plugins/epan/mate/mate.h,281,after release,P N
void*,plugin_if_mainwindow_update_toolbars,FUNCTION,C++,cloned_repositories/wireshark.git/ui/logray/logray_main_window.cpp,274,plugin if mainwindow update toolbars,PRE PRE PRE V NPL
char,idb1_if_description,DECLARATION,C,cloned_repositories/wireshark.git/wiretap/merge.c,471,idb 1 if description,NM D CJ N
DrillConfig,forClient,FUNCTION,Java,drill.git/common/src/main/java/org/apache/drill/common/config/DrillConfig.java,116,for Client,P N
Set,forResource,FUNCTION,Java,drill.git/common/src/main/java/org/apache/drill/common/scanner/ClassPathScanner.java,322,for Resource,P N
TupleMetadata,providedSchema,ATTRIBUTE,Java,drill.git/contrib/format-hdf5/src/main/java/org/apache/drill/exec/store/hdf5/writers/WriterSpec.java,39,provided Schema,V N
boolean,asArray,ATTRIBUTE,Java,drill.git/contrib/format-log/src/main/java/org/apache/drill/exec/store/log/LogBatchReader.java,55,as Array,P N
DruidFilter,andFilterAtIndex,FUNCTION,Java,drill.git/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java,23,and Filter At Index,NM N P N
DruidFilter,orFilterAtIndex,FUNCTION,Java,drill.git/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java,27,or Filter At Index,NM N P N
DruidStoragePluginConfig,thatConfig,DECLARATION,Java,drill.git/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/DruidStoragePluginConfig.java,64,that Config,DT N
AndNode,andNode,PARAMETER,Java,drill.git/contrib/storage-googlesheets/src/main/java/org/apache/drill/exec/store/googlesheets/GoogleSheetsPushDownListener.java,145,and Node,NM N
IfExpression,ifExpr,PARAMETER,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/compile/sig/ConstantExpressionIdentifier.java,122,if Expr,NM N
IfElseWidthExpr,ifElseWidthExpr,PARAMETER,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/AbstractExecExprVisitor.java,50,if Else Width Expr,NM NM NM N
LogicalExpression,ifCondition,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/CloneVisitor.java,81,if Condition,NM N
JBlock,ifNoVal,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EvaluationVisitor.java,695,if No Val,CJ DT N
JBlock,ifFound,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/EvaluationVisitor.java,822,if Found,CJ V
MinorType,elseType,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/expr/ExpressionTreeMaterializer.java,692,else Type,NM N
long,before,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1460,before,P
long,after,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java,1481,after,P
OutputWidthExpression,ifReducedExpr,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/project/OutputWidthVisitor.java,231,if Reduced Expr,CJ NM N
int,ifWidth,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/project/OutputWidthVisitor.java,233,if Width,NM N
double,orSel,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/cost/DrillRelMdDistinctRowCount.java,329,or Sel,NM N
RexNode,orPred,PARAMETER,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/cost/DrillRelMdSelectivity.java,296,or Pred,NM N
SqlNode,ifExists,ATTRIBUTE,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/SqlDropAlias.java,39,if Exists,NM N
SqlNode,whereClause,ATTRIBUTE,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/SqlShowSchemas.java,43,where Clause,NM N
SqlNode,where,ATTRIBUTE,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/SqlSelectBuilder.java,30,where,N
ColumnMetadata,providedColumn,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/ColumnConverter.java,165,provided Column,V N
TypeDescriptor ,forClass,FUNCTION,Java,drill.git/common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java,108,for Class,P N
MapWriter,asMap,FUNCTION,Java,drill.git/exec/vector/src/main/codegen/templates/UnionWriter.java,93,as Map,P N
ByteBuf,asReadOnly,FUNCTION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java,915,as Read Only,P NM VM
boolean,onlyImpersonationEnabled,ATTRIBUTE,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/server/rest/profile/ProfileWrapper.java,67,only Impersonation Enabled,VM N V
double[],asDouble,FUNCTION,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/buffer/CudaUInt32DataBuffer.java,204,as Double,P N
boolean,afterFirstBatch,ATTRIBUTE,Java,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java,79,after First Batch,P NM N
boolean,afterLastRow,ATTRIBUTE,Java,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java,98,after Last Row,P NM N
void,afterLast,FUNCTION,Java,drill.git/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillResultSetImpl.java,212,after Last,P DT
bool,only_amz,PARAMETER,C++,s3fs-fuse.git/src/curl_util.cpp,210,only amz,VM N
bool,run_once,DECLARATION,C++,s3fs-fuse.git/src/curl.cpp,1940,run once,V VM
double,dlnow,PARAMETER,C++,s3fs-fuse.git/src/curl.cpp,346,dl now,V VM
double,ulnow,PARAMETER,C++,s3fs-fuse.git/src/curl.cpp,346,ul now,V VM
bool,only_pool,PARAMETER,C++,s3fs-fuse.git/src/curl.cpp,2041,only pool,VM N
time_t,now_time,DECLARATION,C++,s3fs-fuse.git/src/mpu_util.cpp,68,now time,VM N
timespec,tsnow,DECLARATION,C++,s3fs-fuse.git/src/s3fs_logger.cpp,55,t s now,NM N VM
string,strnow,DECLARATION,C++,s3fs-fuse.git/src/s3fs.cpp,1120,str now,N VM
string,nowpath,DECLARATION,C++,s3fs-fuse.git/src/s3fs.cpp,2369,now path,VM N
string,nowcache,DECLARATION,C++,s3fs-fuse.git/src/s3fs.cpp,1722,now cache,VM V
bool,check_content_only,PARAMETER,C++,s3fs-fuse.git/src/s3fs.cpp,124,check content only,V N VM
Map,action To Index Map,ATTRIBUTE,C,{'gimp.srcml.xml_identifiers'},,action To Index Map,N P NM N
